"函数名"	"定义位置"	"固定字符串出现次数"	"清单条目数"	"原始签名"	"功能备注"	"功能签名"	"迁移归属建议"	"风险标记"
"世界树类::写入存在场景绝对坐标_由相对坐标表"	"世界树类.cpp:2119"	"1"	"1"	"bool 世界树类::写入存在场景绝对坐标_由相对坐标表( 存在节点类* 目标存在, const std::vector<场景相对坐标项>& 相对坐标表, 时间戳 now)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::写入存在观测位置"	"世界树类.cpp:2147"	"1"	"1"	"bool 世界树类::写入存在观测位置(存在节点类* 节点, const Vector3D& 位置_mm)"	"把处理结果写入指定对象、场景或日志。"	"类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建二次特征"	"世界树类.cpp:1561"	"1"	"1"	"二次特征节点类* 世界树类::创建二次特征(基础信息节点类* 父节点, 二次特征主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建动态"	"世界树类.cpp:1573"	"1"	"1"	"动态节点类* 世界树类::创建动态(场景节点类* 场景, 动态节点主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建叶子抽象特征"	"世界树类.cpp:1339"	"1"	"1"	"抽象特征节点类* 世界树类::创建叶子抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型, 特征值域 值域)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建场景"	"世界树类.cpp:1546"	"1"	"1"	"场景节点类* 世界树类::创建场景(基础信息节点类* 父节点, 场景节点主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建复合抽象特征"	"世界树类.cpp:1353"	"1"	"1"	"抽象特征节点类* 世界树类::创建复合抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建存在实例"	"世界树类.cpp:1505"	"1"	"1"	"存在节点类* 世界树类::创建存在实例( const 语素入口节点类* 名称, const std::vector<存在节点类*>& 概念集, 场景节点类* 所属场景)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建抽象特征"	"世界树类.cpp:1333"	"1"	"1"	"抽象特征节点类* 世界树类::创建抽象特征(基础信息节点类* 父抽象特征, 抽象特征主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建特征"	"世界树类.cpp:1416"	"1"	"1"	"特征节点类* 世界树类::创建特征(基础信息节点类* 宿主, 特征节点主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::创建状态"	"世界树类.cpp:1567"	"1"	"1"	"状态节点类* 世界树类::创建状态(场景节点类* 场景, 状态节点主信息类* 主信息)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::初始化存在概念系统"	"世界树类.cpp:1298"	"1"	"1"	"bool 世界树类::初始化存在概念系统()"	"初始化相关对象、状态或运行上下文。"	"类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::初始化核心存在概念树"	"世界树类.cpp:1130"	"1"	"1"	"bool 世界树类::初始化核心存在概念树()"	"初始化相关对象、状态或运行上下文。"	"类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::初始化核心概念默认特征槽"	"世界树类.cpp:1149"	"1"	"1"	"bool 世界树类::初始化核心概念默认特征槽()"	"初始化相关对象、状态或运行上下文。"	"类别=构造;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::初始化默认世界"	"世界树类.cpp:872"	"1"	"1"	"void 世界树类::初始化默认世界()"	"初始化相关对象、状态或运行上下文。"	"类别=构造;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::刷新存在比较二次特征"	"世界树类.cpp:1877"	"1"	"1"	"std::vector<二次特征节点类*> 世界树类::刷新存在比较二次特征( 存在节点类* 左存在, 存在节点类* 右存在, const 集合比较参数& 参数)"	"比较当前值、目标值或历史基准。"	"类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::匹配抽象特征"	"世界树类.cpp:1371"	"1"	"1"	"bool 世界树类::匹配抽象特征(const 抽象特征节点类* 抽象特征, const 特征节点类* 实例特征) const"	"按函数名执行对应处理。"	"类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::升格实例稳态为抽象区间"	"世界树类.cpp:1401"	"1"	"1"	"抽象特征节点类* 世界树类::升格实例稳态为抽象区间(特征节点类* 实例特征)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取存在内部世界"	"世界树类.cpp:1937"	"1"	"1"	"场景节点类* 世界树类::取存在内部世界(const 存在节点类* 宿主存在) const noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=noexcept"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建子场景_按名称"	"世界树类.cpp:1552"	"1"	"1"	"场景节点类* 世界树类::取或创建子场景_按名称( 基础信息节点类* 父节点, const 语素入口节点类* 名称, 枚举_世界类型 世界类型)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建子存在_按类型并按特征I64"	"世界树类.cpp:1450"	"1"	"1"	"存在节点类* 世界树类::取或创建子存在_按类型并按特征I64( 基础信息节点类* 父节点, const 语素入口节点类* 类型, const 语素入口节点类* 唯一键特征类型, I64 唯一键特征值)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建子特征_按类型"	"世界树类.cpp:1428"	"1"	"1"	"特征节点类* 世界树类::取或创建子特征_按类型(基础信息节点类* 宿主, const 语素入口节点类* 特征类型)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建存在内部世界"	"世界树类.cpp:1944"	"1"	"1"	"场景节点类* 世界树类::取或创建存在内部世界(存在节点类* 宿主存在, const 语素入口节点类* 场景名称)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建存在概念根"	"世界树类.cpp:1037"	"1"	"1"	"存在节点类* 世界树类::取或创建存在概念根()"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建实例特征_按抽象特征"	"世界树类.cpp:1387"	"1"	"1"	"特征节点类* 世界树类::取或创建实例特征_按抽象特征( 基础信息节点类* 宿主, 抽象特征节点类* 抽象特征)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建抽象特征_按类型"	"世界树类.cpp:1377"	"1"	"1"	"抽象特征节点类* 世界树类::取或创建抽象特征_按类型( 基础信息节点类* 父抽象特征, const 语素入口节点类* 特征类型)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建抽象特征根"	"世界树类.cpp:1309"	"1"	"1"	"基础信息节点类* 世界树类::取或创建抽象特征根()"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建自我存在"	"世界树类.cpp:1916"	"1"	"1"	"存在节点类* 世界树类::取或创建自我存在()"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建自我现实场景"	"世界树类.cpp:1906"	"1"	"1"	"场景节点类* 世界树类::取或创建自我现实场景()"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::取或创建默认世界"	"世界树类.cpp:1899"	"1"	"1"	"场景节点类* 世界树类::取或创建默认世界(const std::string& 名称, 枚举_世界类型 世界类型)"	"创建并返回或登记对应对象。"	"类别=构造;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::存在包含概念"	"世界树类.cpp:1532"	"1"	"1"	"bool 世界树类::存在包含概念(const 存在节点类* 实例, const 存在节点类* 概念) const noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=noexcept"	"专用类/对应头文件：世界"	"待复核"
"世界树类::是存在概念"	"世界树类.cpp:1044"	"1"	"1"	"bool 世界树类::是存在概念(const 存在节点类* 节点) const noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=noexcept"	"专用类/对应头文件：世界"	"待复核"
"世界树类::是实例存在"	"世界树类.cpp:1050"	"1"	"1"	"bool 世界树类::是实例存在(const 存在节点类* 节点) const noexcept"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=noexcept"	"专用类/对应头文件：世界"	"待复核"
"世界树类::查找场景存在_按深度或彩图轮廓图"	"世界树类.cpp:1792"	"1"	"1"	"std::vector<结构_世界树场景轮廓存在比较结果> 世界树类::查找场景存在_按深度或彩图轮廓图( const 场景节点类* 场景, const std::vector<结构_三维体素轮廓图视角>& 局部视角集合, const 结构_三维体素轮廓融合参数& 局部融合参数, const 结构_世界树场景轮廓查找参数& 参数) const"	"在场景直接子存在中按局部深度/彩图轮廓查找候选存在，只返回比较结果。"	"类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::查找实例_按概念"	"世界树类.cpp:1538"	"1"	"1"	"std::vector<存在节点类*> 世界树类::查找实例_按概念( const 存在节点类* 概念, const 基础信息节点类* 范围根) const"	"按条件查找目标对象、方法或事实。"	"类别=查找;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::校验抽象特征子链"	"世界树类.cpp:1365"	"1"	"1"	"bool 世界树类::校验抽象特征子链(const 基础信息节点类* 抽象特征节点) const"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::根据概念扩充实例记忆"	"世界树类.cpp:1524"	"1"	"1"	"void 世界树类::根据概念扩充实例记忆( 存在节点类* 实例, const std::vector<存在节点类*>& 概念集)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::比较存在"	"世界树类.cpp:1865"	"1"	"1"	"存在比较结果 世界树类::比较存在( const 存在节点类* 左存在, const 存在节点类* 右存在, const 集合比较参数& 参数) const"	"比较当前值、目标值或历史基准。"	"类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::比较轮廓特征_按特征类型"	"世界树类.cpp:1771"	"1"	"1"	"结构_轮廓比较结果 世界树类::比较轮廓特征_按特征类型( const 语素入口节点类* 特征类型, const 特征节点类* 左特征, const 特征节点类* 右特征) const"	"比较当前值、目标值或历史基准。"	"类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::求值组合抽象特征"	"世界树类.cpp:1407"	"1"	"1"	"bool 世界树类::求值组合抽象特征( 基础信息节点类* 宿主, 抽象特征节点类* 组合抽象特征, 时间戳 now)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::添加实例概念"	"世界树类.cpp:1515"	"1"	"1"	"bool 世界树类::添加实例概念( 存在节点类* 实例, 存在节点类* 概念, bool 是否扩充记忆)"	"按函数名执行对应处理。"	"类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::生成因果信息"	"世界树类.cpp:1579"	"1"	"1"	"因果模板节点类* 世界树类::生成因果信息( 场景节点类* 场景, 动态节点类* 动态节点, 基础信息节点类* 动作主体, 基础信息节点类* 动作语义, const std::string& 动作语义键, bool 设为主结果)"	"按动态信息生成或命中因果信息。"	"类别=比较;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保存在概念"	"世界树类.cpp:1480"	"1"	"1"	"存在节点类* 世界树类::确保存在概念( const 语素入口节点类* 名称, 存在节点类* 父概念)"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_事件"	"世界树类.cpp:1118"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_事件()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_任务"	"世界树类.cpp:1100"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_任务()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_方法"	"世界树类.cpp:1106"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_方法()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_状态"	"世界树类.cpp:1112"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_状态()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_自我"	"世界树类.cpp:1088"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_自我()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_规则"	"世界树类.cpp:1124"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_规则()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保核心概念_需求"	"世界树类.cpp:1094"	"1"	"1"	"存在节点类* 世界树类::确保核心概念_需求()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保根概念_信息存在"	"世界树类.cpp:1076"	"1"	"1"	"存在节点类* 世界树类::确保根概念_信息存在()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保根概念_存在"	"世界树类.cpp:1058"	"1"	"1"	"存在节点类* 世界树类::确保根概念_存在()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保根概念_实物存在"	"世界树类.cpp:1064"	"1"	"1"	"存在节点类* 世界树类::确保根概念_实物存在()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保根概念_数字生命"	"世界树类.cpp:1082"	"1"	"1"	"存在节点类* 世界树类::确保根概念_数字生命()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保根概念_虚拟存在"	"世界树类.cpp:1070"	"1"	"1"	"存在节点类* 世界树类::确保根概念_虚拟存在()"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::确保特征"	"世界树类.cpp:1422"	"1"	"1"	"特征节点类* 世界树类::确保特征(基础信息节点类* 宿主, const 语素入口节点类* 特征类型)"	"确保目标结构、状态或前置条件存在并可用。"	"类别=未分类;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::绑定核心概念语素"	"世界树类.cpp:1263"	"1"	"1"	"bool 世界树类::绑定核心概念语素()"	"建立对象、任务、方法或因果之间的绑定关系。"	"类别=未分类;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::获取名称"	"世界树类.cpp:956"	"1"	"1"	"std::string 世界树类::获取名称(const 基础信息节点类* 节点) const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
"世界树类::获取子节点"	"世界树类.cpp:950"	"1"	"1"	"std::vector<基础信息节点类*> 世界树类::获取子节点(const 基础信息节点类* 父节点) const"	"读取并返回指定对象、状态或运行材料。"	"类别=读取;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束"	"专用类/对应头文件：世界"	"待复核"
