结构体名	所在文件	行号	字段摘要	是否含文本业务字段	是否含项目结构字段	写入方	读取方	外部读取	初步分类
结构_匹配结果	二次特征应用模块.ixx	115	I64 命中数 = 0; | I64 摘要数 = 0; | I64 目标数 = 0; | I64 精确率_Q10000 = 0; | I64 召回率_Q10000 = 0; | I64 得分_Q10000 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
二次特征匹配配置_桥接	二次特征应用模块.ixx	191	bool 使用对象绑定 = true; | bool 条件空指针视为通配 = true; | bool 允许用概念名称弱匹配 = true; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
二次特征匹配结果_桥接	二次特征应用模块.ixx	197	std::int64_t 命中数 = 0; | std::int64_t 摘要数 = 0; | std::int64_t 目标数 = 0; | std::int64_t 精确率_Q10000 = 0; | std::int64_t 召回率_Q10000 = 0; | std::int64_t 得分_Q10000 = 0; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
二次特征生成配置	二次特征应用模块.ixx	420	bool 生成变化量 = true; | bool 生成变化方向 = true; | bool 生成持续时间 = true; | bool 尝试因果模板匹配 = true; | bool 匹配命中回写因果证据动态 = true; | std::uint32_t 生成版本 = 1; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_场景二次特征写入请求	二次特征应用模块.ixx	429	std::string 度量签名_链键{}; | std::string 概念名称{}; | const 语素入口节点类* 概念入口 = nullptr; | std::string 概念词性 = "名词"; | std::string 离散语义键{}; | 二次特征主信息类::枚举_形态 形态 = 二次特征主信息类::枚举_形态::未定义; | 枚举_二次特征种类 种类 = 枚举_二次特征种类::未定义; | 枚举_二次特征域 域 = 枚举_二次特征域::未定义; | ...(+25)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_动态视图片段	二次特征应用模块.ixx	945	动态节点类* 动态 = nullptr; | const 动态节点主信息类* 动态主信息 = nullptr; | 状态节点类* 起始状态 = nullptr; | 状态节点类* 结果状态 = nullptr; | const 状态节点主信息类* 起始状态主信息 = nullptr; | const 状态节点主信息类* 结果状态主信息 = nullptr; | 基础信息节点类* 主体 = nullptr; | 特征节点类* 特征 = nullptr; | ...(+14)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_二次特征比较语义	方法类.cpp	606	std::string 特征类型主键{}; | std::int32_t 比较结果 = 2; | return !特征类型主键.empty() && 比较结果 != 2; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法树SQL行	方法类.cpp	1044	int 行号 = 0; | std::string 节点主键{}; | std::string 父节点主键{}; | int 深度 = 0; | int 同层序号 = 0; | int 直接子数量 = 0; | std::string 路径{}; | int 节点种类值 = 0; | ...(+15)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_动作句柄	方法主信息类.h	105	枚举_动作句柄类型 类型 = 枚举_动作句柄类型::未设置; | I64 本能ID = 0; | std::string 外部实现主键{}; | std::string 动作序列主键{}; | case 枚举_动作句柄类型::本能函数ID: return 本能ID != 0; | case 枚举_动作句柄类型::外部实现主键: return !外部实现主键.empty(); | case 枚举_动作句柄类型::动作序列主键: return !动作序列主键.empty(); | default: return false; | ...(+1)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件项	方法主信息类.h	123	const 语素入口节点类* 特征类型 = nullptr; | 特征值 期望值{}; | I64 区间下界 = 0; | I64 区间上界 = 0; | bool 是否必需 = true; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件组	方法主信息类.h	131	std::vector<结构_方法条件项> 条件项集{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件面	方法主信息类.h	135	std::vector<结构_方法条件组> 可用条件组集{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法结果关系模板	方法主信息类.h	139	const 语素入口节点类* 目标特征类型 = nullptr; | bool 目标特征类型由参数决定 = false; | const 语素入口节点类* 目标特征类型参数 = nullptr; | std::vector<可解析引用<二次特征节点类>> 结果二次特征模板{}; | 方向掩码 允许方向 = 0; | std::optional<I64区间> 标量区间{}; | bool 有目标值 = false; | 特征值 目标值{}; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法结果项	方法主信息类.h	162	const 语素入口节点类* 特征类型 = nullptr; | bool 特征类型由参数决定 = false; | const 语素入口节点类* 特征类型参数 = nullptr; | 枚举_结果变化方向 方向 = 枚举_结果变化方向::未定义; | 特征值 目标值{}; | I64 最小变化量 = 0; | I64 最大变化量 = 0; | 结构_方法结果关系模板 关系模板{}; | ...(+14)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法结果包	方法主信息类.h	242	std::vector<结构_方法结果项> 结果项集{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法首节点能力面	方法主信息类.h	246	结构_方法结果包 结果包{}; | bool 可被方法查找命中 = true; | bool 是否根写入原语 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法节点公共信息	方法主信息类.h	252	const 自然句节点类* 描述信息 = nullptr; | 枚举_方法节点种类 节点种类 = 枚举_方法节点种类::未定义; | 结构_统计 统计{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法首节点信息	方法主信息类.h	258	可解析引用<存在节点类> 方法虚拟存在{}; | const 语素入口节点类* 动作名 = nullptr; | 结构体_动作句柄 动作句柄{}; | 枚举_方法来源 来源 = 枚举_方法来源::未定义; | 可解析引用<任务节点类> 来源任务{}; | 可解析引用<方法节点类> 父方法{}; | 可解析引用<方法节点类> 前置方法{}; | 可解析引用<方法节点类> 后续方法{}; | ...(+4)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法条件节点信息	方法主信息类.h	272	可解析引用<场景节点类> 条件场景{}; | std::string 条件主键{}; | std::string 条件场景模板主键{}; | 结构_方法条件面 条件面{}; | std::vector<可解析引用<二次特征节点类>> 条件判定索引{}; | 时间戳 时间起 = 0; | 时间戳 时间止 = 0; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_方法结果节点信息	方法主信息类.h	282	可解析引用<场景节点类> 结果场景{}; | std::string 结果主键{}; | 结构_方法结果包 结果包{}; | std::vector<可解析引用<状态节点类>> 结果初始状态{}; | };	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
I64区间	基础数据类型.h	24	std::int64_t 低值 = 0; | std::int64_t 高值 = 0; | constexpr bool 有效() const noexcept { return 低值 <= 高值; } | constexpr bool 是否点() const noexcept { return 低值 == 高值; } | constexpr std::int64_t 点值() const noexcept { return 低值; } | constexpr bool 包含(std::int64_t v) const noexcept { return v >= 低值 && v <= 高值; } | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
可解析引用	基础数据类型.h	149	T节点* 指针 = nullptr; | std::string 主键{}; | 可解析引用() = default; | 可解析引用(T节点* 节点) { 绑定(节点); } | 可解析引用(T节点* 节点, const std::string& 主键值) { 绑定(节点, 主键值); } | bool 有效() const noexcept { return 指针 != nullptr || !主键.empty(); } | T节点* 获取() const noexcept { return 指针; } | T节点* operator->() const noexcept { return 指针; } | ...(+12)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_基础信息轻引用	基础数据类型.h	217	std::uintptr_t 指针 = 0; | std::string 主键{}; | bool 有效() const noexcept { return 指针 != 0 || !主键.empty(); } | return reinterpret_cast<T节点*>(指针); | 指针 = reinterpret_cast<std::uintptr_t>(节点); | 主键 = 私有_提取主键(节点); | 指针 = 0; | 主键.clear(); | ...(+4)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_统计	基础数据类型.h	266	时间戳 创建时间 = 0; | 时间戳 最后观测时间 = 0; | std::uint64_t 命中次数 = 0; | if (创建时间 == 0 && now != 0) 创建时间 = now; | if (now != 0) 最后观测时间 = now; | ++命中次数; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_时间段	基础数据类型.h	280	时间戳 起 = 0; | 时间戳 止 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
VecU句柄	基础数据类型.h	289	std::uintptr_t 主信息指针 = 0; | bool 有效() const noexcept { return 主信息指针 != 0; } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
指针句柄	基础数据类型.h	296	std::uintptr_t 指针 = 0; | bool 有效() const noexcept { return 指针 != 0; } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
特征稳态	基础数据类型.h	326	特征值 值{}; | std::optional<I64区间> 区间{}; | std::uint64_t 命中次数 = 0; | 时间戳 最后命中 = 0; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_分词	基础数据类型.h	530	std::string 词; | std::string  词性; | 结构体_分词() = default; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_空间坐标	基础数据类型.h	542	long long x = 0, y = 0, z = 0; | return a.x == b.x && a.y == b.y && a.z == b.z; | return { x - o.x, y - o.y, z - o.z }; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_时间戳	基础数据类型.h	599	时间戳 值 = 0; | ); | ); | return (t1 >= t0) ? (t1 - t0) : (t0 - t1); | return static_cast<std::int64_t>(t1) - static_cast<std::int64_t>(t0); | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
I64多维区间	基础数据类型.h	796	std::vector<I64区间> 维度{}; | if (维度.empty()) return false; | for (const auto& d : 维度) if (d.低值 > d.高值) return false; | return true; | std::size_t 维度数() const noexcept { return 维度.size(); } | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
点阵图	基础数据类型.h	829	std::int32_t 宽 = 0; | std::int32_t 高 = 0; | std::vector<std::uint64_t> 数据; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_观察统计	基础数据类型.h	921	std::uint32_t 观察次数 = 0; | 时间戳 最近观察时间 = 0; | 时间戳 最近看见时间 = 0; | float 熟悉度 = 0.0f; | float 不确定度 = 1.0f; | float 变化评分 = 0.0f; | std::uint32_t 连续命中帧 = 0; | std::uint32_t 连续丢失帧 = 0; | ...(+1)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
Color	基础数据类型.h	939	uint8_t r = 255, g = 255, b = 255; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
颜色_BGR8	基础数据类型.h	942	std::uint8_t b{}, g{}, r{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
Vector3D	基础数据类型.h	949	double  x = 0.0f; | double  y = 0.0f; | double  z = 0.0f; | Vector3D() = default; | return Vector3D(x * scalar, y * scalar, z * scalar); | if (scalar == 0.0f) return *this; | return Vector3D(x / scalar, y / scalar, z / scalar); | return Vector3D(x + other.x, y + other.y, z + other.z); | ...(+10)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
Quaternion	基础数据类型.h	1021	double w = 1.0; | double x = 0.0; | double y = 0.0; | double z = 0.0; | static Quaternion 单位() noexcept { return {}; } | double 范数() const noexcept { return std::sqrt(w * w + x * x + y * y + z * z); } | const double n = 范数(); | if (n <= 0.0) { w = 1.0; x = y = z = 0.0; return; } | ...(+9)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_相机状态	基础数据类型.h	1067	时间戳 设备时间_微秒 = 0; | Quaternion 姿态{}; | Vector3D 位置{ 0,0,0 }; | bool 有效 = true; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_轮廓观测	基础数据类型.h	1093	int 帧内序号 = 0; | int x = 0, y = 0, w = 0, h = 0; | std::vector<std::uint8_t> 掩膜; | std::vector<Color> 裁剪颜色; | std::vector<Vector3D> 点云簇; | std::vector<std::int64_t> 边界点; | Vector3D 中心{ 0,0,0 }; | Vector3D 尺寸{ 0,0,0 }; | ...(+7)	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_帧时间戳	基础数据类型.h	1135	std::uint64_t 设备时间_us = 0; | std::uint64_t 系统到达时间_us = 0; | 枚举_时间域 域 = 枚举_时间域::未知; | std::uint32_t 深度帧号 = 0; | std::uint32_t 彩色帧号 = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_帧元数据	基础数据类型.h	1149	bool 有效 = false; | int 曝光_us = -1; | int 增益 = -1; | int 白平衡_K = -1; | int 激光功率 = -1; | double 温度_C = 0.0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_IMU样本	基础数据类型.h	1163	std::uint64_t 设备时间_us = 0; | Vector3D 加速度_m_s2{}; | Vector3D 角速度_rad_s{}; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_相机内参	基础数据类型.h	1171	double fx = 0.0; | double fy = 0.0; | double cx = 0.0; | double cy = 0.0; | int 宽度 = 0; | int 高度 = 0; | bool 有效 = false; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
RawImage	基础数据类型.h	1183	int w = 0, h = 0; | std::vector<T> data; | bool valid() const { return w > 0 && h > 0 && (int)data.size() == w * h; } | T& at(int x, int y) { return data[(size_t)y * (size_t)w + (size_t)x]; } | const T& at(int x, int y) const { return data[(size_t)y * (size_t)w + (size_t)x]; } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_原始场景帧	基础数据类型.h	1197	结构体_帧时间戳 时间戳; | int 宽度 = 0; | int 高度 = 0; | 结构体_相机内参 深度内参; | bool 深度已对齐到彩色 = true; | double 深度单位_mm = 0.0; | std::vector<double> 深度; | std::vector<double> 原始深度; | ...(+27)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
点索引	基础数据类型.h	1324	int u = 0; | int v = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_ROI	基础数据类型.h	1336	int x = 0, y = 0; | int w = 0, h = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_图像缓冲_u8	基础数据类型.h	1343	int w = 0, h = 0, c = 0; | int stride_bytes = 0; | std::vector<std::uint8_t> data; | return w > 0 && h > 0 && c > 0 && !data.empty(); | std::size_t stride = (stride_bytes > 0) ? (std::size_t)stride_bytes : (std::size_t)(w * c); | return stride * (std::size_t)h; | inline void 清空() { w = h = c = stride_bytes = 0; data.clear(); data.shrink_to_fit(); } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_图像缓冲_f32	基础数据类型.h	1364	int w = 0, h = 0, c = 0; | std::vector<float> data; | inline bool 有效() const { return w > 0 && h > 0 && c > 0 && !data.empty(); } | inline std::size_t 期望元素数() const { return (std::size_t)w * (std::size_t)h * (std::size_t)c; } | inline void 清空() { w = h = c = 0; data.clear(); data.shrink_to_fit(); } | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构体_存在观测	基础数据类型.h	1380	bool 轮廓观测有效 = false; | 时间戳   时间 = 0; | 枚举_坐标系 坐标系 = 枚举_坐标系::相机坐标系; | Quaternion 相机_q_world_cam{}; | Vector3D 相机_t_world_cam{}; | bool 相机位姿有效 = false; | std::vector<std::uint8_t> 彩色截图; | std::vector<std::int64_t> 彩色截图元信息; | ...(+61)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
抓取位姿建议	基础数据类型.h	1509	Vector3D        法向量{ 0,0,1 }; | Vector3D        相对中心偏移{ 0,0,0 }; | double          评分 = 0.0; | 枚举_抓取类型   类型 = 枚举_抓取类型::未知; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
点簇边界框	基础数据类型.h	1520	int umin = 0, umax = 0; | int vmin = 0, vmax = 0; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
点簇结果	基础数据类型.h	1525	点簇        簇; | 点簇边界框  边界; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
点簇增强结果	基础数据类型.h	1531	点簇                     簇; | 点簇边界框               边界; | std::vector<Vector3D>    点云簇; | Vector3D                  中心{ 0,0,0 }; | Vector3D                  尺寸{ 0,0,0 }; | Vector3D                  主方向1{ 1,0,0 }; | Vector3D                  主方向2{ 0,1,0 }; | Vector3D                  主方向3{ 0,0,1 }; | ...(+27)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
帧处理结果	基础数据类型.h	1599	std::shared_ptr<结构体_原始场景帧> 原始场景帧; | std::vector<结构体_存在观测> 存在观测列表; | std::vector<点簇增强结果> 点簇增强结果列表; | std::vector<结构体_轮廓观测> 轮廓观测列表; | };	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
观测提取参数	基础数据类型.h	1615	std::size_t 最小有效点数 = 80; | bool 使用PCA主轴尺寸 = false; | int 最大轮廓尺度 = 0; | int 最大轮廓边长 = 0; | int 最大轮廓尺度N = 0; | bool 轮廓使用8邻域 = true; | bool 忽略无效点 = true; | bool 要求颜色 = true; | ...(+10)	否	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_评估包	基础数据类型.h	1697	std::int64_t 率_Q10000 = 0; | 枚举_评估阶段 阶段 = 枚举_评估阶段::未知; | std::vector<std::string> 坏因; | std::vector<std::string> 缺口; | std::int64_t 运行次数 = 0; | std::int64_t 成功次数 = 0; | std::int64_t 失败次数 = 0; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抽象特征组合输入	基础数据类型.h	1814	抽象特征引用 来源抽象特征{}; | 抽象特征引用 期望抽象状态{}; | std::optional<I64区间> 期望区间{}; | 枚举_组合输入角色 角色 = 枚举_组合输入角色::主输入; | 枚举_组合缺失策略 缺失策略 = 枚举_组合缺失策略::失败; | I64 默认值 = 0; | I64 权重 = 10000; | std::int32_t 方向 = 1; | ...(+3)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抽象特征组合输出	基础数据类型.h	1830	枚举_组合输出策略 输出策略 = 枚举_组合输出策略::布尔值; | std::optional<I64区间> 成立区间{}; | I64 成立输出值 = 1; | I64 不成立输出值 = 0; | std::optional<I64区间> 输出值限制{}; | };	否	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_抽象特征组合规则	基础数据类型.h	1838	std::string 规则主键{}; | std::string 规则名称{}; | std::vector<结构_抽象特征组合输入> 输入{}; | 枚举_抽象特征组合方式 组合方式 = 枚举_抽象特征组合方式::未定义; | 结构_抽象特征组合输出 输出{}; | std::uint32_t 最少命中数 = 0; | 结构_基础信息轻引用 计算方法{}; | std::uint32_t 规则版本 = 1; | ...(+7)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_特征使用事件	基础数据类型.h	1859	std::string ID{}; | std::string 特征类型主键{}; | std::string 特征值主键{}; | 枚举_特征使用者 使用者 = 枚举_特征使用者::未定义; | 枚举_特征使用方式 使用方式 = 枚举_特征使用方式::未定义; | std::string 目标实体类型{}; | std::string 目标实体主键{}; | bool 已改变结果 = false; | ...(+5)	是	是	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_特征暴露事件	基础数据类型.h	1884	std::string 特征类型主键{}; | 枚举_特征使用者 暴露给 = 枚举_特征使用者::未定义; | std::string 机会主键{}; | bool 已被使用 = false; | 时间戳 时间 = 0; | return !特征类型主键.empty() && !机会主键.empty(); | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_特征使用边	基础数据类型.h	1898	std::string 特征类型主键{}; | std::string 目标种类{}; | std::string 目标主键{}; | 枚举_特征使用方式 使用方式 = 枚举_特征使用方式::未定义; | bool 已改变结果 = false; | return !特征类型主键.empty() && !目标种类.empty(); | return 有效() && 已改变结果; | };	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
结构_特征使用统计	基础数据类型.h	1918	std::string 特征类型主键{}; | std::uint64_t 暴露次数 = 0; | std::uint64_t 读取次数 = 0; | std::uint64_t 有效使用次数 = 0; | std::uint64_t 历史使用次数 = 0; | std::uint64_t 近期使用次数 = 0; | std::uint64_t 作为决策输入次数 = 0; | std::uint64_t 作为派生父特征次数 = 0; | ...(+12)	是	否	待P3审计	待P3审计	待P3审计	候选：待引用审计
