live	函数名	未限定名	定义位置	call_like_count	all_occurrences	原始签名	功能签名	前几个命中
present	世界树类::刷新存在比较二次特征	刷新存在比较二次特征	世界树类.cpp:1877	2	2	std::vector<二次特征节点类*> 世界树类::刷新存在比较二次特征( 存在节点类* 左存在, 存在节点类* 右存在, const 集合比较参数& 参数)	类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束	世界树类.cpp:3191:// 功能：比较当前值、目标值或历史基准。 std::vector<二次特征节点类*> 世界树类::刷新存在比较二次特征(     存在节点类* 左存在,     存在节点类* 右存在,     const 集合比较参数& 参数) {     if (!左存在 || !右存在 || | 世界树类.h:610:数& 参数 = {}     ) const;     std::vector<二次特征节点类*> 刷新存在比较二次特征(         存在节点类* 左存在,         存在节点类* 右存在,         const 集合比较参数& 参数 = {});      场景
present	世界树类::写入存在观测位置	写入存在观测位置	世界树类.cpp:2147	2	2	bool 世界树类::写入存在观测位置(存在节点类* 节点, const Vector3D& 位置_mm)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=世界;约束=无显式约束	世界树类.cpp:3356:turn true; }  // 功能：把处理结果写入指定对象、场景或日志。 bool 世界树类::写入存在观测位置(存在节点类* 节点, const Vector3D& 位置_mm) {     if (!节点) return false;     if (!存在服务_.写入 | 世界树类.h:642:标表,         时间戳 now = 结构体_时间戳::当前_微秒());     bool 写入存在观测位置(存在节点类* 节点, const Vector3D& 位置_mm);  public:     场景节点类* 现实世界 = nullptr;     场景节点类
present	二次特征生成模块::绑定世界树	绑定世界树	二次特征应用模块.ixx:2161	2	2	void 二次特征生成模块::绑定世界树(世界树类* 世界树) noexcept	类别=生成;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=特征;约束=noexcept	二次特征应用模块.ixx:428:二次特征生成模块(世界树类* 世界树 = nullptr) noexcept;      void 绑定世界树(世界树类* 世界树) noexcept;      二次特征节点类* 创建任务结果方向二次特征(         场景节点类* 场景,         状态节点 | 二次特征应用模块.ixx:2219:) { }  // 功能：建立对象、任务、方法或因果之间的绑定关系。 void 二次特征生成模块::绑定世界树(世界树类* 世界树) noexcept {     世界树_ = 世界树; }  // 功能：创建并返回或登记对应对象。 二次特征节点类* 二次特征生成模块::
present	二次特征生成模块::创建任务结果方向二次特征	创建任务结果方向二次特征	二次特征应用模块.ixx:2167	2	2	二次特征节点类* 二次特征生成模块::创建任务结果方向二次特征( 场景节点类* 场景, 状态节点类* 当前状态, 状态节点类* 结果状态, 基础信息节点类* 任务主体)	类别=生成;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征应用模块.ixx:430:    void 绑定世界树(世界树类* 世界树) noexcept;      二次特征节点类* 创建任务结果方向二次特征(         场景节点类* 场景,         状态节点类* 当前状态,         状态节点类* 结果状态,         基础信息节点类* 任 | 二次特征应用模块.ixx:2225: = 世界树; }  // 功能：创建并返回或登记对应对象。 二次特征节点类* 二次特征生成模块::创建任务结果方向二次特征(     场景节点类* 场景,     状态节点类* 当前状态,     状态节点类* 结果状态,     基础信息节点类* 任务主体) {     if (!
present	二次特征生成模块::读取场景二次特征标量	读取场景二次特征标量	二次特征应用模块.ixx:2487	2	2	std::optional<I64> 二次特征生成模块::读取场景二次特征标量( 场景节点类* 场景, const std::string& 概念名称, const 基础信息节点类* 主体, const std::optional<枚举_二次特征域>& 域) const noexcept	类别=读取;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=noexcept	二次特征应用模块.ixx:461:::nullopt) const noexcept;     std::optional<I64> 读取场景二次特征标量(         场景节点类* 场景,         const 基础信息节点类* 特征节点,         方向掩码 方向约束 = 0,          | 二次特征应用模块.ixx:2557: // 功能：从指定来源读取数据或状态。 std::optional<I64> 二次特征生成模块::读取场景二次特征标量(     场景节点类* 场景,     const 基础信息节点类* 特征节点,     方向掩码 方向约束,     const 基础信息节点类* 主体,
present	二次特征生成模块::取或创建场景条件二次特征_布尔	取或创建场景条件二次特征_布尔	二次特征应用模块.ixx:2501	2	2	二次特征节点类* 二次特征生成模块::取或创建场景条件二次特征_布尔( 场景节点类* 条件场景, const std::string& 度量签名_链键, const char* 概念文本)	类别=生成;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征应用模块.ixx:467:>& 域 = std::nullopt) const noexcept;     二次特征节点类* 取或创建场景条件二次特征_布尔(         场景节点类* 条件场景,         const std::string& 度量签名_链键,         const char* 概念 | 二次特征应用模块.ixx:2577:息->标量值; }  // 功能：创建并返回或登记对应对象。 二次特征节点类* 二次特征生成模块::取或创建场景条件二次特征_布尔(     场景节点类* 条件场景,     const std::string& 度量签名_链键,     const char* 概念文本) {     if
present	二次特征生成模块::由状态比较生成二次特征	由状态比较生成二次特征	二次特征应用模块.ixx:2601	2	2	二次特征节点类* 二次特征生成模块::由状态比较生成二次特征( 状态节点类* 左状态, 状态节点类* 右状态)	类别=比较;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征应用模块.ixx:484:    const 语素入口节点类* 概念入口 = nullptr);      二次特征节点类* 由状态比较生成二次特征(         状态节点类* 左状态,         状态节点类* 右状态);     std::vector<二次特征节点类*> 获取动态二次特征(    | 二次特征应用模块.ixx:2668:  // 功能：根据当前输入生成目标数据、场景、动态或回执。 二次特征节点类* 二次特征生成模块::由状态比较生成二次特征(     状态节点类* 左状态,     状态节点类* 右状态) {     if (!世界树_ || !左状态 || !右状态) return nullptr
present	二次特征类::注册概念小区间	注册概念小区间	二次特征类.cpp:594	2	2	二次特征节点类* 二次特征类::注册概念小区间( 二次特征节点类* 任意域节点或链根, const I64区间& 区间, const 语素入口节点类* 概念名称)	类别=未分类;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征类.cpp:843:urn 链根; }  // 功能：注册方法、模板、对象或运行入口。 二次特征节点类* 二次特征类::注册概念小区间(     二次特征节点类* 任意域节点或链根,     const I64区间& 区间,     const 语素入口节点类* 概念名称) {     if ( | 二次特征类.h:116:枚举_二次特征种类 种类 = 枚举_二次特征种类::未定义     );     二次特征节点类* 注册概念小区间(         二次特征节点类* 任意域节点或链根,         const I64区间& 区间,         const 语素入口节点类* 概念名称
present	二次特征类::按差值命中概念节点	按差值命中概念节点	二次特征类.cpp:642	2	2	二次特征节点类* 二次特征类::按差值命中概念节点(二次特征节点类* 链根, I64 差值)	类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征类.cpp:891:特征(链根, 主信息); }  // 功能：按函数名执行对应处理。 二次特征节点类* 二次特征类::按差值命中概念节点(二次特征节点类* 链根, I64 差值) {     if (!基础信息_ || !链根) return nullptr;     私有_确保默认概念刻度(链根 | 二次特征类.h:121:,         const 语素入口节点类* 概念名称     );     二次特征节点类* 按差值命中概念节点(二次特征节点类* 链根, I64 差值);     二次特征节点类* 用概念名称反查节点(二次特征节点类* 链根, const 语素入口节点类* 概念名称);
present	二次特征类::用概念名称反查节点	用概念名称反查节点	二次特征类.cpp:678	2	2	二次特征节点类* 二次特征类::用概念名称反查节点(二次特征节点类* 链根, const 语素入口节点类* 概念名称)	类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束	二次特征类.cpp:927:return 最佳节点; }  // 功能：按函数名执行对应处理。 二次特征节点类* 二次特征类::用概念名称反查节点(二次特征节点类* 链根, const 语素入口节点类* 概念名称) {     if (!基础信息_ || !链根 || !概念名称) return nullp | 二次特征类.h:122:节点类* 按差值命中概念节点(二次特征节点类* 链根, I64 差值);     二次特征节点类* 用概念名称反查节点(二次特征节点类* 链根, const 语素入口节点类* 概念名称);     bool 删除二次特征(二次特征节点类* 节点);      std::vecto
present	任务类::写入任务根实体特征	写入任务根实体特征	任务类.cpp:1303	2	2	bool 任务类::写入任务根实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, std::uintptr_t 来源需求指针, std::uintptr_t 世界任务根指针, std::uintptr_t 父任务指针, std::uintptr_t 管理对象任务指针, I64 初始授权等级, bool 只读,	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:1365:      now); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务根实体特征(     节点类* 任务头结点,     std::uint64_t 任务根ID,     std::uintptr_t 来源需求指针,     std::ui | 任务类.h:48:     const char* 来源原因) noexcept;      static bool 写入任务根实体特征(         节点类* 任务头结点,         std::uint64_t 任务根ID,         std::uintptr_t 来源需求指针,
present	任务类::写入任务控制实体特征	写入任务控制实体特征	任务类.cpp:1331	2	2	bool 任务类::写入任务控制实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, I64 队列状态值, I64 全局优先级, I64 解阻加权, I64 时间预算_ms, I64 资源预算, std::uint64_t 绑定工作线程ID,	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:1393:return 已写入; }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务控制实体特征(     节点类* 任务头结点,     std::uint64_t 任务根ID,     I64 队列状态值,     I64 全局优先级,     I64  | 任务类.h:60:    时间戳 now = 结构体_时间戳::当前_微秒());      static bool 写入任务控制实体特征(         节点类* 任务头结点,         std::uint64_t 任务根ID,         I64 队列状态值,         I64
present	任务类::写入任务局部运行实体特征	写入任务局部运行实体特征	任务类.cpp:1371	2	2	bool 任务类::写入任务局部运行实体特征( 节点类* 任务头结点, std::uint64_t 任务根ID, I64 当前状态值, std::uintptr_t 当前步骤前沿, std::uintptr_t 最近局部结果, I64 局部完成度, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:1433:return 已写入; }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务局部运行实体特征(     节点类* 任务头结点,     std::uint64_t 任务根ID,     I64 当前状态值,     std::uintptr_t 当前步骤 | 任务类.h:78:    时间戳 now = 结构体_时间戳::当前_微秒());      static bool 写入任务局部运行实体特征(         节点类* 任务头结点,         std::uint64_t 任务根ID,         I64 当前状态值,         std
present	任务类::任务管理对象指向	任务管理对象指向	任务类.cpp:1681	2	2	bool 任务类::任务管理对象指向(const 节点类* 任务节点, const 节点类* 目标任务) noexcept	类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept	任务类.cpp:1773: }     return 头结点; }  // 功能：按函数名执行对应处理。 bool 任务类::任务管理对象指向(const 节点类* 任务节点, const 节点类* 目标任务) noexcept {     if (!任务节点 || !目标任务) {         r | 任务类.h:153: 读取任务管理对象或自身(节点类* 任务节点) noexcept;     static bool 任务管理对象指向(const 节点类* 任务节点, const 节点类* 目标任务) noexcept;     static bool 写入任务管理对象任务(
present	任务类::写入任务管理对象任务	写入任务管理对象任务	任务类.cpp:1698	2	2	bool 任务类::写入任务管理对象任务( 节点类* 任务节点, 节点类* 管理对象任务, 场景节点类* 承载场景, 时间戳 now) noexcept	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=noexcept	任务类.cpp:1790:务->获取主键()); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务管理对象任务(     节点类* 任务节点,     节点类* 管理对象任务,     场景节点类* 承载场景,     时间戳 now) noexcept {     au | 任务类.h:154: 任务节点, const 节点类* 目标任务) noexcept;     static bool 写入任务管理对象任务(         节点类* 任务节点,         节点类* 管理对象任务,         场景节点类* 承载场景 = nullptr,
present	任务类::写入任务局部优先级偏移	写入任务局部优先级偏移	任务类.cpp:1994	2	2	bool 任务类::写入任务局部优先级偏移(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2082:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务局部优先级偏移(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:214: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务局部优先级偏移(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务运行次数	写入任务运行次数	任务类.cpp:2090	2	2	bool 任务类::写入任务运行次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2178:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务运行次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:230: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务运行次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务成功次数	写入任务成功次数	任务类.cpp:2102	2	2	bool 任务类::写入任务成功次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2190:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务成功次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:232: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务成功次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务失败次数	写入任务失败次数	任务类.cpp:2114	2	2	bool 任务类::写入任务失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2202:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:234: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务连续失败次数	写入任务连续失败次数	任务类.cpp:2126	2	2	bool 任务类::写入任务连续失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2214:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务连续失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:236: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务连续失败次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务转入缺口需求次数	写入任务转入缺口需求次数	任务类.cpp:2138	2	2	bool 任务类::写入任务转入缺口需求次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2226:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务转入缺口需求次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:238: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务转入缺口需求次数(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());     stati
present	任务类::写入任务最近错误码	写入任务最近错误码	任务类.cpp:2150	2	2	bool 任务类::写入任务最近错误码(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now)	类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2238:默认值, 承载场景); }  // 功能：把处理结果写入指定对象、场景或日志。 bool 任务类::写入任务最近错误码(节点类* 任务头结点, I64 值, 场景节点类* 承载场景, 时间戳 now) {     return 私有_写入任务I64特征(任务头结点, 私有_特征_ | 任务类.h:240: 默认值 = 0, 场景节点类* 承载场景 = nullptr);     static bool 写入任务最近错误码(节点类* 任务头结点, I64 值, 场景节点类* 承载场景 = nullptr, 时间戳 now = 结构体_时间戳::当前_微秒());      stat
present	任务类::同步任务特征使用统计	同步任务特征使用统计	任务类.cpp:2156	2	2	bool 任务类::同步任务特征使用统计( 节点类* 任务头结点, const 结构_特征使用统计& 统计, 枚举_特征生命周期 生命周期, 场景节点类* 承载场景, 时间戳 now)	类别=更新;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2244:载场景, now); }  // 功能：同步线程、任务、场景或对象之间的状态。 bool 任务类::同步任务特征使用统计(     节点类* 任务头结点,     const 结构_特征使用统计& 统计,     枚举_特征生命周期 生命周期,     场景节点类* 承载场景,   | 任务类.h:242:tr, 时间戳 now = 结构体_时间戳::当前_微秒());      static bool 同步任务特征使用统计(         节点类* 任务头结点,         const 结构_特征使用统计& 统计,         枚举_特征生命周期 生命周期 = 枚举_特征
present	任务类::读取任务特征账本生命周期标准特征	读取任务特征账本生命周期标准特征	任务类.cpp:2175	2	2	I64 任务类::读取任务特征账本生命周期标准特征( 节点类* 任务头结点, I64 默认值, 场景节点类* 承载场景, 时间戳 now)	类别=读取;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=无显式约束	任务类.cpp:2263:, 统计, 生命周期, now); }  // 功能：从指定来源读取数据或状态。 I64 任务类::读取任务特征账本生命周期标准特征(     节点类* 任务头结点,     I64 默认值,     场景节点类* 承载场景,     时间戳 now) {     auto* 头结点 = 私有 | 任务类.h:249:tr,         时间戳 now = 结构体_时间戳::当前_微秒());      I64 读取任务特征账本生命周期标准特征(         节点类* 任务头结点,         I64 默认值 = 0,         场景节点类* 承载场景 = nullptr,
