函数名	定义位置	原始签名	参数类型	返回类型	函数体领域依赖	分类A或B	迁移候选	保留原因	模块import风险	下一步处理
D455_候选投影有效	外设观察报告队列.ixx:1433	bool D455_候选投影有效( const 结构_外设观察像素簇摘要& 簇, const 结构_D455短期观察材料页& 页) noexcept	 const 结构_外设观察像素簇摘要& 簇, const 结构_D455短期观察材料页& 页	bool	结构_,外设观察,观察像素簇,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入报告Tracker轨迹状态	外设线程_D455深度相机.ixx:1156	void D455_写入报告Tracker轨迹状态( 结构_外设观察报告队列项* 报告, 枚举_外设Tracker轨迹状态 状态, std::int64_t 连续帧数)	 结构_外设观察报告队列项* 报告, 枚举_外设Tracker轨迹状态 状态, std::int64_t 连续帧数	void	结构_,枚举_,外设观察,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入报告目标观察约束字段	外设线程_D455深度相机.ixx:1950	void D455_写入报告目标观察约束字段( 结构_外设观察报告队列项* 报告, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 约束, std::int64_t 使用状态)	 结构_外设观察报告队列项* 报告, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 约束, std::int64_t 使用状态	void	结构_,外设观察,特征,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入状态结果	外设线程_D455深度相机.ixx:2543	void D455_写入状态结果( const std::shared_ptr<结构_D455线程共享状态>& 状态, 枚举_D455深度相机线程生命周期状态 生命周期)	 const std::shared_ptr<结构_D455线程共享状态>& 状态, 枚举_D455深度相机线程生命周期状态 生命周期	void	结构_,枚举_,D455,相机,线程,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入目标特征观察值	外设线程_D455深度相机.ixx:1973	void D455_写入目标特征观察值( 结构_外设观察报告队列项* 报告, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 约束, const 结构_外设观察像素簇摘要& 命中簇)	 结构_外设观察报告队列项* 报告, const 结构_外设观察等待项& 等待项, const std::optional<结构_目标观察约束特征组>& 约束, const 结构_外设观察像素簇摘要& 命中簇	void	结构_,枚举_,外设观察,观察像素簇,特征,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入簇Tracker轨迹状态	外设线程_D455深度相机.ixx:1138	void D455_写入簇Tracker轨迹状态( 结构_外设观察像素簇摘要& 簇, 枚举_外设Tracker轨迹状态 状态, std::int64_t 连续帧数, std::int64_t 时间戳毫秒)	 结构_外设观察像素簇摘要& 簇, 枚举_外设Tracker轨迹状态 状态, std::int64_t 连续帧数, std::int64_t 时间戳毫秒	void	结构_,枚举_,外设观察,观察像素簇,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写入跨帧簇缓存项	外设线程_D455深度相机.ixx:1088	void D455_写入跨帧簇缓存项( 结构_D455跨帧观察簇缓存项& 缓存项, const 结构_外设观察像素簇摘要& 簇) noexcept	 结构_D455跨帧观察簇缓存项& 缓存项, const 结构_外设观察像素簇摘要& 簇	void	结构_,外设观察,观察像素簇,空间候选,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_写回迁移分割空间候选	外设线程_D455深度相机.ixx:760	void D455_写回迁移分割空间候选(双目相机本能适配器::调用结果* 结果)	双目相机本能适配器::调用结果* 结果	void	空间候选,存在,需求,D455,双目,相机,本能,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_区间重叠	外设线程_D455深度相机.ixx:1866	bool D455_区间重叠( std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大, std::int64_t* 输出重叠长度) noexcept	 std::int64_t 左最小, std::int64_t 左最大, std::int64_t 右最小, std::int64_t 右最大, std::int64_t* 输出重叠长度	bool	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_发布扫描变化报告	外设线程_D455深度相机.ixx:2863	void D455_发布扫描变化报告( const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察报告队列项& 稳定子集报告, const std::optional<结构_外设观察报告队列项>& 上一稳定子集报告, const std::vector<结构_外设观察等待项>& 扫描变化等待项集合, std::uint64_t 序号, std::uint64_t& 扫描跳过日志抑制条数, std::uint64_t& 扫描样本卡日志抑制条数)	 const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察报告队列项& 稳定子集报告, const std::optional<结构_外设观察报告队列项>& 上一稳定子集报告, const std::vector<结构_外设观察等待项>& 扫描变化等待项集合, std::uint64_t 序号, std::uint64_t& 扫描跳过日志抑制条数, std::uint64_t& 扫描样本卡日志抑制条数	void	结构_,外设观察,观察像素簇,逐簇识别,稳定子集,扫描变化报告,场景,外设,D455,相机,线程,报告,观察,扫描,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇,逐簇识别,稳定子集,扫描变化报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_发布本帧逐簇与稳定子集报告	外设线程_D455深度相机.ixx:2785	结构_D455本帧报告组 D455_发布本帧逐簇与稳定子集报告( const 双目相机本能适配器::调用结果& 采集结果, const 结构_D455等待项分组& 等待项分组, std::uint64_t 序号, std::uint64_t& 逐簇识别报告入队日志抑制条数, std::uint64_t& 稳定子集报告跳过日志抑制条数)	 const 双目相机本能适配器::调用结果& 采集结果, const 结构_D455等待项分组& 等待项分组, std::uint64_t 序号, std::uint64_t& 逐簇识别报告入队日志抑制条数, std::uint64_t& 稳定子集报告跳过日志抑制条数	结构_D455本帧报告组	结构_,外设观察,观察像素簇,逐簇识别,稳定子集,外设,D455,双目,相机,本能,线程,报告,观察,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇,逐簇识别,稳定子集；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_发布目标跟踪报告	外设线程_D455深度相机.ixx:2934	void D455_发布目标跟踪报告( const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察报告队列项& 稳定子集报告, const std::vector<结构_外设观察等待项>& 跟踪等待项集合, std::uint64_t 序号, std::uint64_t& 跟踪跳过日志抑制条数)	 const 结构_外设观察报告队列项& 逐簇识别报告, const 结构_外设观察报告队列项& 稳定子集报告, const std::vector<结构_外设观察等待项>& 跟踪等待项集合, std::uint64_t 序号, std::uint64_t& 跟踪跳过日志抑制条数	void	结构_,外设观察,观察像素簇,逐簇识别,稳定子集,跟踪报告,外设,D455,相机,线程,报告,观察,跟踪,日志,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇,逐簇识别,稳定子集,跟踪报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_发布采集成功后的报告编排	外设线程_D455深度相机.ixx:3001	std::optional<结构_外设观察报告队列项> D455_发布采集成功后的报告编排( const 双目相机本能适配器::调用结果& 采集结果, std::uint64_t 序号, std::uint64_t& 逐簇识别报告入队日志抑制条数, std::uint64_t& 稳定子集报告跳过日志抑制条数, std::uint64_t& 扫描跳过日志抑制条数, std::uint64_t& 扫描样本卡日志抑制条数, std::uint64_t& 跟踪跳过日志抑制条数)	 const 双目相机本能适配器::调用结果& 采集结果, std::uint64_t 序号, std::uint64_t& 逐簇识别报告入队日志抑制条数, std::uint64_t& 稳定子集报告跳过日志抑制条数, std::uint64_t& 扫描跳过日志抑制条数, std::uint64_t& 扫描样本卡日志抑制条数, std::uint64_t& 跟踪跳过日志抑制条数	std::optional<结构_外设观察报告队列项>	结构_,外设观察,逐簇识别,稳定子集,跟踪报告,扫描变化报告,外设,D455,双目,相机,本能,报告,观察,扫描,跟踪,日志	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,逐簇识别,稳定子集,跟踪报告,扫描变化报告；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_句柄前缀有效	外设观察报告队列.ixx:1251	bool D455_句柄前缀有效(const std::string& 句柄) noexcept	const std::string& 句柄	bool	D455,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_句柄资源类型	外设观察报告队列.ixx:1257	std::string D455_句柄资源类型(const std::string& 句柄)	const std::string& 句柄	std::string	D455,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_基础采样样本对稳定	外设线程_D455深度相机.ixx:2424	bool D455_基础采样样本对稳定( const 结构_D455深度相机观察样本& 左, const 结构_D455深度相机观察样本& 右)	 const 结构_D455深度相机观察样本& 左, const 结构_D455深度相机观察样本& 右	bool	结构_,特征,D455,相机,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_填充材料页通用摘要	外设观察报告队列.ixx:1318	void D455_填充材料页通用摘要( const 结构_D455短期观察材料页& 页, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要) noexcept	 const 结构_D455短期观察材料页& 页, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要	void	结构_,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_复制观察报告帧摘要	外设线程_D455深度相机.ixx:1746	void D455_复制观察报告帧摘要( const 结构_外设观察报告队列项& 来源, 结构_外设观察报告队列项* 输出) noexcept	 const 结构_外设观察报告队列项& 来源, 结构_外设观察报告队列项* 输出	void	结构_,外设观察,观察像素簇,空间候选,特征,方法,外设,D455,相机,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_外设帧ID_由报告	外设线程_D455深度相机.ixx:1587	std::uint64_t D455_外设帧ID_由报告( const 结构_外设观察报告队列项& 报告) noexcept	 const 结构_外设观察报告队列项& 报告	std::uint64_t	结构_,外设观察,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_尝试匹配帧句柄	外设观察报告队列.ixx:1347	bool D455_尝试匹配帧句柄( const 结构_D455短期观察材料页& 页, const std::string& 句柄, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要)	 const 结构_D455短期观察材料页& 页, const std::string& 句柄, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要	bool	结构_,枚举_,空间候选,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_尝试匹配簇句柄	外设观察报告队列.ixx:1448	bool D455_尝试匹配簇句柄( const 结构_D455短期观察材料页& 页, const std::string& 句柄, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要)	 const 结构_D455短期观察材料页& 页, const std::string& 句柄, const std::string& 资源类型, 结构_D455观察材料句柄摘要* 摘要	bool	结构_,枚举_,观察像素簇,空间候选,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,观察像素簇,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_带滞回容差	外设线程_D455深度相机.ixx:860	std::int64_t D455_带滞回容差(std::int64_t 基础, bool 启用滞回) noexcept	std::int64_t 基础, bool 启用滞回	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_帧像素数量有效	外设观察报告队列.ixx:1271	bool D455_帧像素数量有效(const 双目相机本能适配器::调用结果& 来源) noexcept	const 双目相机本能适配器::调用结果& 来源	bool	D455,双目,相机,本能,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_平滑I64	外设线程_D455深度相机.ixx:893	std::int64_t D455_平滑I64( std::int64_t 旧值, std::int64_t 新值, bool 已初始化) noexcept	 std::int64_t 旧值, std::int64_t 新值, bool 已初始化	std::int64_t	D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_当前时间毫秒	外设线程_D455深度相机.ixx:1844	std::int64_t D455_当前时间毫秒() noexcept		std::int64_t	D455,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_截断日志文本	外设线程_D455深度相机.ixx:2588	std::string D455_截断日志文本(const std::string& 文本)	const std::string& 文本	std::string	D455,日志,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_扫描变化等待项前置满足	外设线程_D455深度相机.ixx:2113	bool D455_扫描变化等待项前置满足(const 结构_外设观察等待项& 等待项) noexcept	const 结构_外设观察等待项& 等待项	bool	结构_,外设观察,存在,外设,D455,观察,扫描,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_把跨帧采集摘要写入样本	外设线程_D455深度相机.ixx:1359	void D455_把跨帧采集摘要写入样本( const 结构_外设观察报告队列项& 报告, 结构_D455深度相机观察样本* 样本) noexcept	 const 结构_外设观察报告队列项& 报告, 结构_D455深度相机观察样本* 样本	void	结构_,外设观察,观察像素簇,外设,D455,相机,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_投影中心X	外设线程_D455深度相机.ixx:902	std::int64_t D455_投影中心X(const 结构_外设观察像素簇摘要& 簇) noexcept	const 结构_外设观察像素簇摘要& 簇	std::int64_t	结构_,外设观察,观察像素簇,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_投影中心Y	外设线程_D455深度相机.ixx:908	std::int64_t D455_投影中心Y(const 结构_外设观察像素簇摘要& 簇) noexcept	const 结构_外设观察像素簇摘要& 簇	std::int64_t	结构_,外设观察,观察像素簇,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_报告满足L1稳定子集口径	外设线程_D455深度相机.ixx:1609	bool D455_报告满足L1稳定子集口径( const 结构_外设观察报告队列项& 报告) noexcept	 const 结构_外设观察报告队列项& 报告	bool	结构_,枚举_,外设观察,观察像素簇,逐簇识别,稳定子集,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,逐簇识别,稳定子集；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_按目标特征估算观察值	外设线程_D455深度相机.ixx:1883	std::optional<std::int64_t> D455_按目标特征估算观察值( const std::string& 目标特征类型ID, const 结构_外设观察像素簇摘要& 簇)	 const std::string& 目标特征类型ID, const 结构_外设观察像素簇摘要& 簇	std::optional<std::int64_t>	结构_,外设观察,观察像素簇,特征,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_按跨帧簇ID查找观察像素簇	外设线程_D455深度相机.ixx:1809	const 结构_外设观察像素簇摘要* D455_按跨帧簇ID查找观察像素簇( const std::vector<结构_外设观察像素簇摘要>& 簇集合, std::int64_t 跨帧簇ID) noexcept	 const std::vector<结构_外设观察像素簇摘要>& 簇集合, std::int64_t 跨帧簇ID	const 结构_外设观察像素簇摘要*	结构_,外设观察,观察像素簇,外设,D455,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,外设观察,观察像素簇；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_控制面板分割颜色	外设观察报告队列.ixx:1512	void D455_控制面板分割颜色( std::size_t 顺序, std::uint8_t& R, std::uint8_t& G, std::uint8_t& B) noexcept	 std::size_t 顺序, std::uint8_t& R, std::uint8_t& G, std::uint8_t& B	void	控制面板,D455	B	候选	未命中自定义主信息/节点/结构/协议对象；仅作为迁移候选，需人工复核同功能与 import 环	中-有领域命名/日志语境，迁移前复核命名和所属模块	P13b 迁移前查全局共享函数类和函数说明文档；确认无同功能且无 import 环
D455_提取迁移分割空间候选	外设线程_D455深度相机.ixx:608	std::vector<双目相机本能适配器::空间候选摘要> D455_提取迁移分割空间候选( const 双目相机本能适配器::调用结果& 来源)	 const 双目相机本能适配器::调用结果& 来源	std::vector<双目相机本能适配器::空间候选摘要>	结构_,空间候选,D455,双目,相机,本能,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_更新逐簇识别报告跨帧采集状态	外设线程_D455深度相机.ixx:1173	void D455_更新逐簇识别报告跨帧采集状态(结构_外设观察报告队列项* 报告)	结构_外设观察报告队列项* 报告	void	结构_,枚举_,外设观察,观察像素簇,逐簇识别,外设,D455,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,枚举_,外设观察,观察像素簇,逐簇识别；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_构造Tracker轨迹状态generation	外设线程_D455深度相机.ixx:1124	std::string D455_构造Tracker轨迹状态generation( const char* 作用域, std::uint64_t ID, std::int64_t 时间戳毫秒)	 const char* 作用域, std::uint64_t ID, std::int64_t 时间戳毫秒	std::string	D455,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_构造控制面板视频快照_已加锁	外设观察报告队列.ixx:1531	结构_D455控制面板视频快照 D455_构造控制面板视频快照_已加锁( const 结构_D455短期观察材料页& 页)	 const 结构_D455短期观察材料页& 页	结构_D455控制面板视频快照	结构_,空间候选,外设,控制面板,D455,线程,报告,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：结构_,空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_构造观察帧资源句柄	外设线程_D455深度相机.ixx:951	std::string D455_构造观察帧资源句柄( const char* 资源类型, const 双目相机本能适配器::调用结果& 来源)	 const char* 资源类型, const 双目相机本能适配器::调用结果& 来源	std::string	D455,双目,相机,本能,观察,字段访问	A	否	函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
D455_构造观察簇资源句柄	外设线程_D455深度相机.ixx:931	std::string D455_构造观察簇资源句柄( const char* 资源类型, const 双目相机本能适配器::调用结果& 来源, const 双目相机本能适配器::空间候选摘要& 候选)	 const char* 资源类型, const 双目相机本能适配器::调用结果& 来源, const 双目相机本能适配器::空间候选摘要& 候选	std::string	空间候选,D455,双目,相机,本能,观察,字段访问	A	否	命中自定义结构/节点/协议依赖：空间候选；函数体存在字段/指针成员访问，需保守视为对象依赖	高	不迁入全局共享；按所属领域保留/去重/删除审计
