live	函数名	未限定名	定义位置	call_like_count	功能	签名风险标记	命中位置
yes	世界树类::是存在概念	是存在概念	世界树类.cpp:1851	1	按函数名执行对应处理。		世界树类.cpp:1851
yes	世界树类::是实例存在	是实例存在	世界树类.cpp:1857	1	按函数名执行对应处理。		世界树类.cpp:1857
yes	世界树类::确保根概念_存在	确保根概念_存在	世界树类.cpp:1863	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1863
yes	世界树类::确保根概念_实物存在	确保根概念_实物存在	世界树类.cpp:1869	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1869
yes	世界树类::确保根概念_虚拟存在	确保根概念_虚拟存在	世界树类.cpp:1875	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1875
yes	世界树类::确保根概念_信息存在	确保根概念_信息存在	世界树类.cpp:1881	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1881
yes	世界树类::确保根概念_数字生命	确保根概念_数字生命	世界树类.cpp:1887	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1887
yes	世界树类::确保核心概念_自我	确保核心概念_自我	世界树类.cpp:1893	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1893
yes	世界树类::确保核心概念_需求	确保核心概念_需求	世界树类.cpp:1899	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1899
yes	世界树类::确保核心概念_任务	确保核心概念_任务	世界树类.cpp:1905	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1905
yes	世界树类::确保核心概念_方法	确保核心概念_方法	世界树类.cpp:1911	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1911
yes	世界树类::确保核心概念_状态	确保核心概念_状态	世界树类.cpp:1917	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1917
yes	世界树类::确保核心概念_事件	确保核心概念_事件	世界树类.cpp:1923	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1923
yes	世界树类::确保核心概念_规则	确保核心概念_规则	世界树类.cpp:1929	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:1929
yes	世界树类::初始化核心存在概念树	初始化核心存在概念树	世界树类.cpp:1935	1	初始化相关对象、状态或运行上下文。		世界树类.cpp:1935
yes	世界树类::初始化核心概念默认特征槽	初始化核心概念默认特征槽	世界树类.cpp:1954	1	初始化相关对象、状态或运行上下文。		世界树类.cpp:1954
yes	世界树类::绑定核心概念语素	绑定核心概念语素	世界树类.cpp:2068	1	建立对象、任务、方法或因果之间的绑定关系。		世界树类.cpp:2068
yes	世界树类::初始化存在概念系统	初始化存在概念系统	世界树类.cpp:2103	1	初始化相关对象、状态或运行上下文。		世界树类.cpp:2103
yes	世界树类::取或创建抽象特征根	取或创建抽象特征根	世界树类.cpp:2113	1	创建并返回或登记对应对象。		世界树类.cpp:2113
yes	世界树类::创建抽象特征	创建抽象特征	世界树类.cpp:2149	1	创建并返回或登记对应对象。		世界树类.cpp:2149
yes	世界树类::创建叶子抽象特征	创建叶子抽象特征	世界树类.cpp:2155	1	创建并返回或登记对应对象。		世界树类.cpp:2155
yes	世界树类::创建复合抽象特征	创建复合抽象特征	世界树类.cpp:2169	1	创建并返回或登记对应对象。		世界树类.cpp:2169
yes	世界树类::查找子抽象特征_按类型	查找子抽象特征_按类型	世界树类.cpp:2181	1	按类型查找抽象特征直接子节点，不创建或修改节点。		世界树类.cpp:2181
yes	世界树类::校验抽象特征子链	校验抽象特征子链	世界树类.cpp:2189	1	按函数名执行对应处理。		世界树类.cpp:2189
yes	世界树类::匹配抽象特征	匹配抽象特征	世界树类.cpp:2195	1	按函数名执行对应处理。		世界树类.cpp:2195
yes	世界树类::初始化常用抽象特征	初始化常用抽象特征	世界树类.cpp:2201	1	初始化常用抽象特征节点。		世界树类.cpp:2201
yes	世界树类::取或创建抽象特征_按类型	取或创建抽象特征_按类型	世界树类.cpp:2207	1	创建并返回或登记对应对象。		世界树类.cpp:2207
yes	世界树类::取或创建实例特征_按抽象特征	取或创建实例特征_按抽象特征	世界树类.cpp:2217	1	创建并返回或登记对应对象。		世界树类.cpp:2217
yes	世界树类::解析实例特征命中抽象特征	解析实例特征命中抽象特征	世界树类.cpp:2225	1	解析输入文本、消息、场景或运行包。		世界树类.cpp:2225
yes	世界树类::升格实例稳态为抽象区间	升格实例稳态为抽象区间	世界树类.cpp:2231	1	按函数名执行对应处理。		世界树类.cpp:2231
yes	世界树类::求值组合抽象特征	求值组合抽象特征	世界树类.cpp:2237	1	按函数名执行对应处理。		世界树类.cpp:2237
yes	世界树类::创建特征	创建特征	世界树类.cpp:2246	1	创建并返回或登记对应对象。		世界树类.cpp:2246
yes	世界树类::创建特征_按类型	创建特征_按类型	世界树类.cpp:2252	1	按类型创建特征节点，由世界树入口承接基础信息子节点创建。		世界树类.cpp:2252
yes	世界树类::删除特征	删除特征	世界树类.cpp:2261	1	删除特征节点，由世界树入口承接基础信息节点删除。		世界树类.cpp:2261
yes	世界树类::确保特征	确保特征	世界树类.cpp:2267	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:2267
yes	世界树类::取或创建子特征_按类型	取或创建子特征_按类型	世界树类.cpp:2273	1	创建并返回或登记对应对象。		世界树类.cpp:2273
yes	世界树类::获取子特征	获取子特征	世界树类.cpp:2279	1	读取宿主下的直接子特征，不创建或修改节点。		世界树类.cpp:2279
yes	世界树类::查找子特征_按类型	查找子特征_按类型	世界树类.cpp:2285	1	按类型查找宿主下的直接子特征，不创建或修改节点。		世界树类.cpp:2285
yes	世界树类::比较状态	比较状态	世界树类.cpp:2305	1	比较当前值、目标值或历史基准。		世界树类.cpp:2305
yes	世界树类::获取比较方法结果	获取比较方法结果	世界树类.cpp:2313	1	读取并返回特征值比较方法结果。		世界树类.cpp:2313
yes	世界树类::是存在节点	是存在节点	世界树类.cpp:2336	1	判断基础信息节点是否承载存在主信息。		世界树类.cpp:2336
yes	世界树类::是场景节点	是场景节点	世界树类.cpp:2342	1	判断基础信息节点是否为场景节点，不创建或修改节点。		世界树类.cpp:2342
yes	世界树类::读取存在名称	读取存在名称	世界树类.cpp:2348	1	读取存在名称入口，不创建或补齐任何结构。		世界树类.cpp:2348
yes	世界树类::读取存在类型	读取存在类型	世界树类.cpp:2354	1	读取存在类型入口，不创建或补齐任何结构。		世界树类.cpp:2354
yes	世界树类::获取概念集	获取概念集	世界树类.cpp:2360	1	读取并返回指定对象、状态或运行材料。		世界树类.cpp:2360
yes	世界树类::读取最近观测位置缓存	读取最近观测位置缓存	世界树类.cpp:2366	1	读取最近观测位置缓存；缓存只作为特征化或显示输入。		世界树类.cpp:2366
yes	世界树类::确保存在三类根节点	确保存在三类根节点	世界树类.cpp:2372	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:2372
yes	世界树类::创建存在	创建存在	世界树类.cpp:2378	1	创建并返回或登记对应对象。		世界树类.cpp:2378
yes	世界树类::取或创建子存在_按名称类型	取或创建子存在_按名称类型	世界树类.cpp:2386	1	按名称和类型取或创建父节点下的直接子存在。		世界树类.cpp:2386
yes	世界树类::取或创建子存在_按类型	取或创建子存在_按类型	世界树类.cpp:2406	1	创建并返回或登记对应对象。		世界树类.cpp:2406
yes	世界树类::查找子存在_按名称	查找子存在_按名称	世界树类.cpp:2422	1	按名称查找父节点下的直接子存在，不创建或修改节点。		世界树类.cpp:2422
yes	世界树类::查找子存在_按类型	查找子存在_按类型	世界树类.cpp:2430	1	按类型查找父节点下的直接子存在，不创建或修改节点。		世界树类.cpp:2430
yes	世界树类::取或创建子存在_按类型并按特征I64	取或创建子存在_按类型并按特征I64	世界树类.cpp:2474	1	创建并返回或登记对应对象。		世界树类.cpp:2474
yes	世界树类::确保存在概念	确保存在概念	世界树类.cpp:2509	1	确保目标结构、状态或前置条件存在并可用。		世界树类.cpp:2509
yes	世界树类::创建存在实例	创建存在实例	世界树类.cpp:2542	1	创建并返回或登记对应对象。		世界树类.cpp:2542
yes	世界树类::添加实例概念	添加实例概念	世界树类.cpp:2555	1	按函数名执行对应处理。		世界树类.cpp:2555
yes	世界树类::根据概念扩充实例记忆	根据概念扩充实例记忆	世界树类.cpp:2568	1	按函数名执行对应处理。		世界树类.cpp:2568
yes	世界树类::存在包含概念	存在包含概念	世界树类.cpp:2604	1	按函数名执行对应处理。		世界树类.cpp:2604
yes	世界树类::获取子存在	获取子存在	世界树类.cpp:2610	1	读取父节点下的直接子存在，不创建或修改节点。		世界树类.cpp:2610
yes	世界树类::枚举全部存在	枚举全部存在	世界树类.cpp:2616	1	枚举世界树中的全部存在节点，不创建或修改节点。		世界树类.cpp:2616
yes	世界树类::查找实例_按概念	查找实例_按概念	世界树类.cpp:2622	1	按条件查找目标对象、方法或事实。		世界树类.cpp:2622
yes	世界树类::创建场景	创建场景	世界树类.cpp:2630	1	创建并返回或登记对应对象。		世界树类.cpp:2630
yes	世界树类::创建场景_按名称	创建场景_按名称	世界树类.cpp:2638	1	按名称创建场景节点，由世界树入口承接基础信息子节点创建。		世界树类.cpp:2638
yes	世界树类::取或创建子场景_按名称	取或创建子场景_按名称	世界树类.cpp:2649	1	创建并返回或登记对应对象。		世界树类.cpp:2649
yes	世界树类::绑定场景宿主	绑定场景宿主	世界树类.cpp:2663	1	建立场景与宿主存在之间的绑定关系。		世界树类.cpp:2663
yes	世界树类::读取场景宿主存在	读取场景宿主存在	世界树类.cpp:2669	1	读取场景宿主存在引用，优先返回缓存指针，缺指针时按主键只读解析。		世界树类.cpp:2669
yes	世界树类::读取场景状态索引快照	读取场景状态索引快照	世界树类.cpp:2675	1	读取场景状态事实目录的引用快照，不解释状态值业务含义。		世界树类.cpp:2675
yes	世界树类::读取场景二次特征索引快照	读取场景二次特征索引快照	世界树类.cpp:2681	1	读取场景二次特征事实目录的引用快照，不解释二次特征业务含义。		世界树类.cpp:2681
yes	世界树类::查找存在_按深度或彩图轮廓图	查找存在_按深度或彩图轮廓图	世界树类.cpp:2687	1	在场景直接子存在中按局部深度/彩图轮廓查找候选存在，只返回比较结果。		世界树类.cpp:2687
yes	世界树类::创建二次特征	创建二次特征	世界树类.cpp:2704	1	创建并返回或登记对应对象。		世界树类.cpp:2704
yes	世界树类::创建二次特征_按度量	创建二次特征_按度量	世界树类.cpp:2710	1	按度量签名创建二次特征节点。		世界树类.cpp:2710
yes	世界树类::获取子二次特征	获取子二次特征	世界树类.cpp:2719	1	读取父节点下的直接子二次特征，不创建或修改节点。		世界树类.cpp:2719
yes	世界树类::获取或创建子二次特征_按签名	获取或创建子二次特征_按签名	世界树类.cpp:2725	1	按二次特征签名读取或显式创建父节点下的子二次特征。		世界树类.cpp:2725
yes	世界树类::绑定二次特征场景	绑定二次特征场景	世界树类.cpp:2745	1	绑定二次特征所属场景。		世界树类.cpp:2745
yes	世界树类::设置二次特征生成语义	设置二次特征生成语义	世界树类.cpp:2751	1	设置二次特征生成语义。		世界树类.cpp:2751
yes	世界树类::绑定二次特征来源	绑定二次特征来源	世界树类.cpp:2763	1	绑定二次特征来源状态、动态和场景。		世界树类.cpp:2763
yes	世界树类::设置二次特征主体客体	设置二次特征主体客体	世界树类.cpp:2793	1	设置二次特征主体和客体。		世界树类.cpp:2793
yes	世界树类::设置二次特征左右对象	设置二次特征左右对象	世界树类.cpp:2799	1	设置二次特征左右比较对象。		世界树类.cpp:2799
yes	世界树类::写入二次特征差值结果	写入二次特征差值结果	世界树类.cpp:2805	1	写入二次特征差值比较结果。		世界树类.cpp:2805
yes	世界树类::写入二次特征标量值	写入二次特征标量值	世界树类.cpp:2811	1	写入二次特征标量值和满足状态。		世界树类.cpp:2811
yes	世界树类::写入观察关系二次特征	写入观察关系二次特征	世界树类.cpp:2817	1	写入观察关系二次特征。		世界树类.cpp:2817
yes	世界树类::写入二次特征标量值_已取主信息	写入二次特征标量值_已取主信息	世界树类.cpp:2837	1	在已读取主信息时写入二次特征标量值和满足状态。		世界树类.cpp:2837
yes	世界树类::写入二次特征离散值_已取主信息	写入二次特征离散值_已取主信息	世界树类.cpp:2857	1	在已读取主信息时写入二次特征离散值。		世界树类.cpp:2857
yes	世界树类::刷新二次特征概念模板	刷新二次特征概念模板	世界树类.cpp:2879	1	根据二次特征当前主信息刷新概念模板引用。		世界树类.cpp:2879
yes	世界树类::确保二次特征列表具备默认值	确保二次特征列表具备默认值	世界树类.cpp:2885	1	确保二次特征引用列表中的条件节点具备默认值。		世界树类.cpp:2885
yes	世界树类::查找场景二次特征主信息	查找场景二次特征主信息	世界树类.cpp:2893	1	按场景、特征节点、方向、主体和领域查找二次特征主信息，不创建节点。		世界树类.cpp:2893
yes	世界树类::读取场景二次特征布尔	读取场景二次特征布尔	世界树类.cpp:2911	1	读取场景二次特征布尔值，不创建节点。		世界树类.cpp:2911
yes	世界树类::写入治理二次特征	写入治理二次特征	世界树类.cpp:2927	1	把自我治理候选事实写入场景二次特征。		世界树类.cpp:2927
yes	世界树类::获取动态二次特征	获取动态二次特征	世界树类.cpp:2966	1	读取或生成指定动态关联的二次特征集合。		世界树类.cpp:2966
yes	世界树类::生成相邻动态协同二次特征	生成相邻动态协同二次特征	世界树类.cpp:2972	1	为相邻动态生成协同二次特征。		世界树类.cpp:2972
yes	世界树类::尝试生成连续同向聚合动态	尝试生成连续同向聚合动态	世界树类.cpp:2981	1	尝试按连续同向规则生成聚合动态。		世界树类.cpp:2981
yes	世界树类::尝试生成同类事件段聚合动态	尝试生成同类事件段聚合动态	世界树类.cpp:2987	1	尝试按同类事件段规则生成聚合动态。		世界树类.cpp:2987
yes	世界树类::写入轮廓比较二次特征	写入轮廓比较二次特征	世界树类.cpp:2993	1	把轮廓比较结果写入二次特征材料。		世界树类.cpp:2993
yes	世界树类::创建内部状态	创建内部状态	世界树类.cpp:3035	1	创建内部状态节点并登记到场景。		世界树类.cpp:3035
yes	世界树类::获取场景状态	获取场景状态	世界树类.cpp:3050	1	读取场景状态集合，不创建或修改节点。		世界树类.cpp:3050
yes	世界树类::是否当前活动状态	是否当前活动状态	世界树类.cpp:3056	1	判断指定状态是否仍是场景中同主体同特征口径的当前活动状态。		世界树类.cpp:3056
yes	世界树类::读取最近清理问题快照	读取最近清理问题快照	世界树类.cpp:3062	1	读取状态清理最近问题快照，不修改状态索引。		世界树类.cpp:3062
yes	世界树类::清除最近清理问题快照	清除最近清理问题快照	世界树类.cpp:3068	1	清除状态清理最近问题快照。		世界树类.cpp:3068
yes	世界树类::绑定状态主体特征	绑定状态主体特征	世界树类.cpp:3074	1	绑定状态节点的主体和特征引用。		世界树类.cpp:3074
yes	世界树类::写入状态值	写入状态值	世界树类.cpp:3084	1	写入状态节点的状态值和可选时间戳。		世界树类.cpp:3084
yes	世界树类::标记状态变化	标记状态变化	世界树类.cpp:3106	1	仅写入状态节点显示缓存；权威变化关系由动态或二次特征比较生成。		世界树类.cpp:3106
yes	世界树类::创建方法动作动态	创建方法动作动态	世界树类.cpp:3142	1	创建方法动作动态并登记到场景。		世界树类.cpp:3142
yes	世界树类::追加来源低层动态	追加来源低层动态	世界树类.cpp:3174	1	向动态来源链追加低层动态引用。		世界树类.cpp:3174
yes	世界树类::读取动态双状态时间段	读取动态双状态时间段	世界树类.cpp:3192	1	读取动态两个状态构成的时间段，不创建或修改节点。		世界树类.cpp:3192
yes	世界树类::动态双状态同源可复算	动态双状态同源可复算	世界树类.cpp:3198	1	按主体、特征和双状态时间段包含判断两个动态是否可复算同源。		世界树类.cpp:3198
yes	世界树类::读取动态聚合信息	读取动态聚合信息	世界树类.cpp:3206	1	读取动态聚合层级、聚合方式和路径签名，不创建或修改节点。		世界树类.cpp:3206
yes	世界树类::是原子相邻动态	是原子相邻动态	世界树类.cpp:3216	1	判断动态是否为原子相邻动态，不创建或修改节点。		世界树类.cpp:3216
yes	世界树类::读取动态来源低层动态	读取动态来源低层动态	世界树类.cpp:3222	1	读取动态来源低层动态引用链，不创建或修改节点。		世界树类.cpp:3222
yes	世界树类::计算动态列表路径签名	计算动态列表路径签名	世界树类.cpp:3230	1	按动态节点列表计算聚合路径签名，用于来源链快速过滤。		世界树类.cpp:3230
yes	世界树类::动态聚合来源链相同	动态聚合来源链相同	世界树类.cpp:3236	1	比较聚合动态的来源低层动态链是否与输入动态列表一致。		世界树类.cpp:3236
yes	世界树类::获取场景动态	获取场景动态	世界树类.cpp:3244	1	读取场景动态事实目录中的动态节点快照。		世界树类.cpp:3244
yes	世界树类::状态记录后刷新动态	状态记录后刷新动态	世界树类.cpp:3250	1	记录状态后刷新或创建相邻动态。		世界树类.cpp:3250
yes	世界树类::设置主体特征	设置主体特征	世界树类.cpp:3259	1	设置动态主体和特征。		世界树类.cpp:3259
yes	世界树类::绑定来源方法	绑定来源方法	世界树类.cpp:3265	1	绑定动态来源方法。		世界树类.cpp:3265
yes	世界树类::绑定来源场景	绑定来源场景	世界树类.cpp:3274	1	绑定动态来源输入和输出场景。		世界树类.cpp:3274
yes	世界树类::生成因果信息	生成因果信息	世界树类.cpp:3280	1	按动态信息生成或命中因果信息。		世界树类.cpp:3280
yes	世界树类::是因果节点	是因果节点	世界树类.cpp:3346	1	判断基础信息节点是否承载因果主信息，不创建或修改节点。		世界树类.cpp:3346
yes	世界树类::生成抽象因果自然语言	生成抽象因果自然语言	世界树类.cpp:3352	1	把因果模板转换为基础命名显示使用的自然语言。		世界树类.cpp:3352
yes	世界树类::查找匹配因果模板	查找匹配因果模板	世界树类.cpp:3358	1	按二次特征条件和结果候选查找匹配的因果模板。		世界树类.cpp:3358
yes	世界树类::查询因果动作来源	查询因果动作来源	世界树类.cpp:3368	1	读取因果动作来源的方法模板和动作语义，不创建或修改节点。		世界树类.cpp:3368
yes	世界树类::读取因果证据状态	读取因果证据状态	世界树类.cpp:3379	1	读取因果证据状态和基础计数判断，不创建或修改节点。		世界树类.cpp:3379
yes	世界树类::存在因果条件模板	存在因果条件模板	世界树类.cpp:3397	1	判断因果节点是否登记了条件模板，不创建或修改节点。		世界树类.cpp:3397
yes	世界树类::枚举因果条件目标状态	枚举因果条件目标状态	世界树类.cpp:3403	1	从因果条件模板和证据动态初始状态枚举条件目标状态，不创建或修改节点。		世界树类.cpp:3403
yes	世界树类::查询主果方向命中因果	查询主果方向命中因果	世界树类.cpp:3412	1	按目标二次特征比较查询主果同向和反向命中的因果节点。		世界树类.cpp:3412
yes	世界树类::确保被动触发初始因果模板	确保被动触发初始因果模板	世界树类.cpp:3432	1	确保被动触发初始因果模板存在，按结构签名命中后追加证据动态。		世界树类.cpp:3432
yes	世界树类::查询因果链	查询因果链	世界树类.cpp:3454	1	从目标结果状态或目标结果特征回溯现有状态转换因果边。		世界树类.cpp:3454
yes	世界树类::查询叶子任务目标投影层级	查询叶子任务目标投影层级	世界树类.cpp:3474	1	查询叶子任务目标可能落入的结算贡献投影层级。		世界树类.cpp:3474
yes	世界树类::查询自检原子目标投影	查询自检原子目标投影	世界树类.cpp:3500	1	查询自检原子目标的状态转换因果投影、来源因果和缺失证据。		世界树类.cpp:3500
yes	世界树类::写入特征值	写入特征值	世界树类.cpp:3530	1	把通用特征值写入指定特征节点。		世界树类.cpp:3530
yes	世界树类::读取特征VecU	读取特征VecU	世界树类.cpp:3668	1	从指定来源读取数据或状态。		世界树类.cpp:3668
yes	世界树类::比较轮廓特征_按特征类型	比较轮廓特征_按特征类型	世界树类.cpp:3704	1	比较当前值、目标值或历史基准。		世界树类.cpp:3704
yes	世界树类::比较存在	比较存在	世界树类.cpp:3725	1	比较当前值、目标值或历史基准。		世界树类.cpp:3725
yes	世界树类::刷新存在比较二次特征	刷新存在比较二次特征	世界树类.cpp:3737	1	比较当前值、目标值或历史基准。		世界树类.cpp:3737
yes	世界树类::取或创建默认世界	取或创建默认世界	世界树类.cpp:3759	1	创建并返回或登记对应对象。		世界树类.cpp:3759
yes	世界树类::取或创建自我现实场景	取或创建自我现实场景	世界树类.cpp:3766	1	创建并返回或登记对应对象。		世界树类.cpp:3766
yes	世界树类::取或创建自我存在	取或创建自我存在	世界树类.cpp:3776	1	创建并返回或登记对应对象。		世界树类.cpp:3776
yes	世界树类::取存在内部世界	取存在内部世界	世界树类.cpp:3806	1	按函数名执行对应处理。		世界树类.cpp:3806
yes	世界树类::取或创建存在内部世界	取或创建存在内部世界	世界树类.cpp:3812	1	创建并返回或登记对应对象。		世界树类.cpp:3812
yes	世界树类::读取存在场景绝对坐标	读取存在场景绝对坐标	世界树类.cpp:3830	1	从指定来源读取数据或状态。		世界树类.cpp:3830
yes	世界树类::写入存在场景绝对坐标	写入存在场景绝对坐标	世界树类.cpp:3836	1	把处理结果写入指定对象、场景或日志。		世界树类.cpp:3836
yes	世界树类::计算场景绝对坐标_由参考存在相对坐标	计算场景绝对坐标_由参考存在相对坐标	世界树类.cpp:3853	1	计算权重、状态、差值或派生结果。		世界树类.cpp:3853
yes	世界树类::写入存在场景绝对坐标_由参考存在相对坐标	写入存在场景绝对坐标_由参考存在相对坐标	世界树类.cpp:3865	1	把处理结果写入指定对象、场景或日志。		世界树类.cpp:3865
yes	世界树类::计算场景绝对坐标_由相对坐标表	计算场景绝对坐标_由相对坐标表	世界树类.cpp:3888	1	计算权重、状态、差值或派生结果。		世界树类.cpp:3888
yes	世界树类::写入存在场景绝对坐标_由相对坐标表	写入存在场景绝对坐标_由相对坐标表	世界树类.cpp:3895	1	把处理结果写入指定对象、场景或日志。		世界树类.cpp:3895
yes	世界树类::写入存在观测位置	写入存在观测位置	世界树类.cpp:3911	1	把处理结果写入指定对象、场景或日志。		世界树类.cpp:3911
yes	世界树类::默认特征差异度	默认特征差异度	世界树类.cpp:3929	1	按函数名执行对应处理。		世界树类.cpp:3929
yes	世界树_	世界树_	二次特征应用模块.ixx:2210	1	按函数名执行对应处理。		二次特征应用模块.ixx:2211
yes	二次特征生成模块::绑定世界树	绑定世界树	二次特征应用模块.ixx:2216	1	建立对象、任务、方法或因果之间的绑定关系。		二次特征应用模块.ixx:2216
yes	二次特征生成模块::创建任务结果方向二次特征	创建任务结果方向二次特征	二次特征应用模块.ixx:2222	1	创建并返回或登记对应对象。		二次特征应用模块.ixx:2222
yes	二次特征生成模块::写入场景二次特征	写入场景二次特征	二次特征应用模块.ixx:2261	1	把处理结果写入指定对象、场景或日志。		二次特征应用模块.ixx:2261
yes	二次特征生成模块::确保二次特征具备默认值	确保二次特征具备默认值	二次特征应用模块.ixx:2411	1	确保目标结构、状态或前置条件存在并可用。		二次特征应用模块.ixx:2411
yes	二次特征生成模块::确保二次特征列表具备默认值	确保二次特征列表具备默认值	二次特征应用模块.ixx:2453	1	确保目标结构、状态或前置条件存在并可用。		二次特征应用模块.ixx:2453
yes	二次特征生成模块::查找场景二次特征_按签名	查找场景二次特征_按签名	二次特征应用模块.ixx:2463	1	按条件查找目标对象、方法或事实。		二次特征应用模块.ixx:2463
yes	二次特征生成模块::查找场景二次特征主信息	查找场景二次特征主信息	二次特征应用模块.ixx:2482	1	按条件查找目标对象、方法或事实。		二次特征应用模块.ixx:2482
yes	二次特征生成模块::读取场景二次特征布尔	读取场景二次特征布尔	二次特征应用模块.ixx:2527	1	从指定来源读取数据或状态。		二次特征应用模块.ixx:2527
yes	二次特征生成模块::读取场景二次特征标量	读取场景二次特征标量	二次特征应用模块.ixx:2547	1	从指定来源读取数据或状态。		二次特征应用模块.ixx:2547
yes	二次特征生成模块::取或创建场景条件二次特征_布尔	取或创建场景条件二次特征_布尔	二次特征应用模块.ixx:2567	1	创建并返回或登记对应对象。		二次特征应用模块.ixx:2567
yes	二次特征生成模块::由状态比较生成二次特征	由状态比较生成二次特征	二次特征应用模块.ixx:2655	1	根据当前输入生成目标数据、场景、动态或回执。		二次特征应用模块.ixx:2655
yes	二次特征生成模块::获取动态二次特征	获取动态二次特征	二次特征应用模块.ixx:2770	1	读取并返回指定对象、状态或运行材料。		二次特征应用模块.ixx:2770
yes	二次特征生成模块::生成相邻动态协同二次特征	生成相邻动态协同二次特征	二次特征应用模块.ixx:2784	1	根据当前输入生成目标数据、场景、动态或回执。		二次特征应用模块.ixx:2784
yes	二次特征生成模块::由存在比较结果生成二次特征	由存在比较结果生成二次特征	二次特征应用模块.ixx:2902	1	根据当前输入生成目标数据、场景、动态或回执。		二次特征应用模块.ixx:2902
yes	二次特征生成模块::写入轮廓比较二次特征	写入轮廓比较二次特征	二次特征应用模块.ixx:2992	1	把处理结果写入指定对象、场景或日志。		二次特征应用模块.ixx:2992
yes	二次特征生成模块::尝试生成连续同向聚合动态	尝试生成连续同向聚合动态	二次特征应用模块.ixx:3110	1	根据当前输入生成目标数据、场景、动态或回执。		二次特征应用模块.ixx:3110
yes	二次特征生成模块::尝试生成同类事件段聚合动态	尝试生成同类事件段聚合动态	二次特征应用模块.ixx:3239	1	根据当前输入生成目标数据、场景、动态或回执。		二次特征应用模块.ixx:3239
