"函数名"	"条目数"	"定义数"	"声明数"	"位置"
"提交确认观察存在事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:23449[定义];自我动作实现.外部模块.ixx:862[定义];自我动作实现模块.ixx:12500[定义]"
"提交观察存在发现事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:24906[定义];自我动作实现.外部模块.ixx:898[定义];自我动作实现模块.ixx:12536[定义]"
"提交观察存在特征值变化事实"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:25073[定义];自我动作实现.外部模块.ixx:871[定义];自我动作实现模块.ixx:12509[定义]"
"提交风险安全场景影响部分状态变化"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:19857[定义];自我动作实现.外部模块.ixx:907[定义];自我动作实现模块.ixx:12545[定义]"
"查找"	"3"	"3"	"0"	"度量模板注册表类.ixx:99[定义];特征值类.h:42[定义];特征值类.h:53[定义]"
"查找人类词性入口节点"	"3"	"0"	"3"	"语素类.h:44[声明];语素类.h:45[声明];语素类.h:46[声明]"
"查找子特征"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:7786[定义];自我动作实现.服务模块.ixx:1277[定义];自我动作实现模块.ixx:2685[定义]"
"检查双目相机运行状态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18347[定义];自我动作实现.外部模块.ixx:628[定义];自我动作实现模块.ixx:12239[定义]"
"添加子节点"	"3"	"2"	"1"	"双向链表模板核心.h:334[定义];双向链表模板核心.h:349[定义];基础信息类.h:25[声明]"
"添加节点"	"3"	"2"	"1"	"双向链表模板核心.h:283[定义];双向链表模板核心.h:298[定义];基础信息类.h:24[声明]"
"特征_任务信息节点"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:763[定义];自我动作实现.服务模块.ixx:117[定义];自我动作实现模块.ixx:166[定义]"
"特征_任务状态动作动态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:917[定义];自我动作实现.服务模块.ixx:405[定义];自我动作实现模块.ixx:397[定义]"
"特征_任务虚拟存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:756[定义];自我动作实现.服务模块.ixx:125[定义];自我动作实现模块.ixx:159[定义]"
"特征_动作动态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:1629[定义];自我动作实现.服务模块.ixx:277[定义];自我动作实现模块.ixx:1122[定义]"
"特征_开始时间"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:1601[定义];自我动作实现.服务模块.ixx:933[定义];自我动作实现模块.ixx:1094[定义]"
"特征_当前方法运行存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:1036[定义];自我动作实现.服务模块.ixx:293[定义];自我动作实现模块.ixx:522[定义]"
"特征_形参表"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:721[定义];自我动作实现.服务模块.ixx:61[定义];自我动作实现模块.ixx:124[定义]"
"特征_执行差值"	"3"	"3"	"0"	"任务模块.筹办.ixx:4417[定义];自我动作实现.外设模块.ixx:5512[定义];自我动作实现模块.ixx:1764[定义]"
"特征_是否必需"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:1141[定义];自我动作实现.服务模块.ixx:941[定义];自我动作实现模块.ixx:627[定义]"
"特征_条件集合"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:707[定义];自我动作实现.服务模块.ixx:45[定义];自我动作实现模块.ixx:110[定义]"
"特征_来源动作动态"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:903[定义];自我动作实现.服务模块.ixx:285[定义];自我动作实现模块.ixx:383[定义]"
"特征_来源需求"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:770[定义];自我动作实现.服务模块.ixx:133[定义];自我动作实现模块.ixx:173[定义]"
"特征_目标执行后值"	"3"	"3"	"0"	"任务模块.筹办.ixx:4424[定义];自我动作实现.外设模块.ixx:5519[定义];自我动作实现模块.ixx:1771[定义]"
"特征_目标抽象特征"	"3"	"3"	"0"	"任务模块.筹办.ixx:4410[定义];自我动作实现.外设模块.ixx:5491[定义];自我动作实现模块.ixx:1743[定义]"
"特征_目标方法头节点"	"3"	"3"	"0"	"任务模块.筹办.ixx:4375[定义];自我动作实现.外设模块.ixx:5617[定义];自我动作实现模块.ixx:1869[定义]"
"特征_结果表"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:735[定义];自我动作实现.服务模块.ixx:69[定义];自我动作实现模块.ixx:138[定义]"
"特征_调用信息"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:749[定义];自我动作实现.服务模块.ixx:29[定义];自我动作实现模块.ixx:152[定义]"
"特征_输入参数场景"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:1566[定义];自我动作实现.扫描.ixx:461[定义];自我动作实现模块.ixx:1059[定义]"
"特征_运行参数"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:693[定义];自我动作实现.服务模块.ixx:53[定义];自我动作实现模块.ixx:96[定义]"
"特征_选中自我能力值"	"3"	"3"	"0"	"任务模块.筹办.ixx:4382[定义];自我动作实现.外设模块.ixx:1928[定义];自我动作实现模块.ixx:1421[定义]"
"特征节点主信息类"	"3"	"3"	"0"	"基础信息主信息类.h:434[定义];基础信息主信息类.h:437[定义];基础信息主信息类.h:442[定义]"
"状态类::创建状态"	"3"	"3"	"0"	"状态类.cpp:230[定义];状态类.cpp:352[定义];状态类.cpp:375[定义]"
"用双目相机刷新当前观察场景"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18418[定义];自我动作实现.外部模块.ixx:637[定义];自我动作实现模块.ixx:12248[定义]"
"用双目相机发现候选存在"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:27373[定义];自我动作实现.外部模块.ixx:646[定义];自我动作实现模块.ixx:12257[定义]"
"用双目相机取得当前观察帧"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18490[定义];自我动作实现.外部模块.ixx:655[定义];自我动作实现模块.ixx:12266[定义]"
"用双目相机取得当前观察特征帧"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18554[定义];自我动作实现.外部模块.ixx:664[定义];自我动作实现模块.ixx:12275[定义]"
"用双目相机建立当前帧像素特征索引"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:18757[定义];自我动作实现.外部模块.ixx:673[定义];自我动作实现模块.ixx:12284[定义]"
"确认双目相机刷新当前观察场景规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:15966[定义];自我动作实现.外部模块.ixx:52[定义];自我动作实现模块.ixx:8370[定义]"
"确认双目相机发现候选存在规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17966[定义];自我动作实现.外部模块.ixx:61[定义];自我动作实现模块.ixx:8379[定义]"
"确认双目相机取得当前观察帧规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16001[定义];自我动作实现.外部模块.ixx:70[定义];自我动作实现模块.ixx:8388[定义]"
"确认双目相机取得当前观察特征帧规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16042[定义];自我动作实现.外部模块.ixx:79[定义];自我动作实现模块.ixx:8397[定义]"
"确认双目相机建立当前帧像素特征索引规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16134[定义];自我动作实现.外部模块.ixx:88[定义];自我动作实现模块.ixx:8406[定义]"
"确认双目相机控制规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:15903[定义];自我动作实现.外部模块.ixx:33[定义];自我动作实现模块.ixx:8351[定义]"
"确认双目相机检查运行状态规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:15938[定义];自我动作实现.外部模块.ixx:43[定义];自我动作实现模块.ixx:8361[定义]"
"确认安全执行降级保护规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16750[定义];自我动作实现.外部模块.ixx:223[定义];自我动作实现模块.ixx:8597[定义]"
"确认安全持续观察当前场景规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16697[定义];自我动作实现.外部模块.ixx:205[定义];自我动作实现模块.ixx:8571[定义]"
"确认安全搜索安全因果因素证据规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16436[定义];自我动作实现.外部模块.ixx:538[定义];自我动作实现模块.ixx:8742[定义]"
"确认安全构造场景影响因果候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16641[定义];自我动作实现.外部模块.ixx:187[定义];自我动作实现模块.ixx:8545[定义]"
"确认安全评估当前场景安全性规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16331[定义];自我动作实现.外部模块.ixx:169[定义];自我动作实现模块.ixx:8493[定义]"
"确认提交安全因果因素无负证据默认满足规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16496[定义];自我动作实现.外部模块.ixx:547[定义];自我动作实现模块.ixx:8755[定义]"
"确认提交安全因果因素证据评估值规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16519[定义];自我动作实现.外部模块.ixx:556[定义];自我动作实现模块.ixx:8764[定义]"
"确认提交当前观察范围可观测单位存在对应事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16977[定义];自我动作实现.外部模块.ixx:304[定义];自我动作实现模块.ixx:8715[定义]"
"确认提交指定存在跟踪事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17107[定义];自我动作实现.外部模块.ixx:295[定义];自我动作实现模块.ixx:8706[定义]"
"确认提交确认内部世界子存在事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17779[定义];自我动作实现.外部模块.ixx:520[定义];自我动作实现模块.ixx:8948[定义]"
"确认提交确认观察存在事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17259[定义];自我动作实现.外部模块.ixx:277[定义];自我动作实现模块.ixx:8688[定义]"
"确认提交观察存在发现事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17038[定义];自我动作实现.外部模块.ixx:313[定义];自我动作实现模块.ixx:8724[定义]"
"确认提交观察存在特征值变化事实规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17072[定义];自我动作实现.外部模块.ixx:286[定义];自我动作实现模块.ixx:8697[定义]"
"确认提交风险安全场景影响部分状态变化规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16410[定义];自我动作实现.外部模块.ixx:322[定义];自我动作实现模块.ixx:8733[定义]"
"确认自我判断基础观察事实可用性规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:16300[定义];自我动作实现.外部模块.ixx:160[定义];自我动作实现模块.ixx:8478[定义]"
"确认自我判断空间候选相对独立性规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17529[定义];自我动作实现.外部模块.ixx:430[定义];自我动作实现模块.ixx:8858[定义]"
"确认自我匹配当前观察存在与历史观察存在规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17816[定义];自我动作实现.外部模块.ixx:565[定义];自我动作实现模块.ixx:8966[定义]"
"确认自我在内部世界提取子候选规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17740[定义];自我动作实现.外部模块.ixx:502[定义];自我动作实现模块.ixx:8930[定义]"
"确认自我导出OpenGL复现数据规格"	"3"	"3"	"0"	"自我动作实现.外设模块.ixx:17941[定义];自我动作实现.外部模块.ixx:601[定义];自我动作实现模块.ixx:9002[定义]"
