"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"私有_确保缓存_已加锁"	"10"	"1"	"9"	"2"	"9x 类别=未分类;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=特征值;约束=锁约束 || 1x 类别=未分类;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=特征值;约束=锁约束"	"10x 专用类/对应头文件：特征值"	"特征值类.h:48: 私有_确保缓存_已加锁() || 特征值类.h:55: 私有_确保缓存_已加锁() || 特征值类.h:61: 私有_确保缓存_已加锁() || 特征值类.h:103: 私有_确保缓存_已加锁() || 特征值类.h:112: 私有_确保缓存_已加锁()"	"同名不同功能或约束，禁止直接合并"
"lock"	"9"	"0"	"9"	"1"	"9x 类别=执行;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"9x 全局共享函数类.ixx候选"	"双向链表模板核心.h:285: 写锁守卫 lock(链表锁) || 双向链表模板核心.h:300: 写锁守卫 lock(链表锁) || 双向链表模板核心.h:336: 写锁守卫 lock(链表锁) || 双向链表模板核心.h:351: 写锁守卫 lock(链表锁) || 双向链表模板核心.h:489: 写锁守卫 lock(链表锁)"	"功能签名一致，按专用归属复核"
"operator="	"9"	"1"	"8"	"5"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=基础信息;约束=无显式约束 || 2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=语素;约束=无显式约束 || 2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=语言;约束=无显式约束"	"2x 专用类/对应头文件：世界 || 2x 专用类/对应头文件：基础信息 || 2x 专用类/对应头文件：语素 || 2x 专用类/对应头文件：语言"	"世界树类.h:56: 世界树类& operator=(const 世界树类&) = delete || 世界树类.h:58: 世界树类& operator=(世界树类&&) = delete || 基础信息类.h:17: 基础信息类& operator=(const 基础信息类&) = delete || 基础信息类.h:19: 基础信息类& operator=(基础信息类&&) = delete || 基础数据类型.h:172: 可解析引用& operator=(T节点* 节点)"	"同名不同功能或约束，禁止直接合并"
"IsWindow"	"7"	"7"	"0"	"2"	"5x 类别=执行;输入=无自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=控制面板;约束=无显式约束 || 2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"7x 专用类/对应头文件：控制面板"	"控制面板WebView2.cpp:1766: if (auto* 现有窗口 = 私有_相机播放窗口句柄.load() || 控制面板WebView2.cpp:1778: if (auto* 现有窗口 = 私有_相机播放窗口句柄.load() || 控制面板WebView2.cpp:1804: if (auto* 现有窗口 = 私有_自我场景窗口句柄.load() || 控制面板WebView2.cpp:1817: if (auto* 现有窗口 = 私有_自我场景窗口句柄.load() || 控制面板WebView2.cpp:1860: if (auto* 现有窗口 = 私有_窗口句柄.load()"	"同名不同功能或约束，禁止直接合并"
"基础信息_"	"7"	"7"	"0"	"6"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=因果;约束=noexcept || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=场景;约束=noexcept"	"2x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：动态 || 1x 专用类/对应头文件：因果 || 1x 专用类/对应头文件：场景"	"二次特征类.cpp:314: 二次特征类::二次特征类(基础信息类* 基础信息) noexcept : 基础信息_(基础信息) || 动态类.cpp:468: 动态类::动态类(基础信息类* 基础信息) noexcept : 基础信息_(基础信息) || 因果类.cpp:1088: 因果类::因果类(基础信息类* 基础信息) noexcept : 基础信息_(基础信息) || 场景类.cpp:126: 场景类::场景类(基础信息类* 基础信息) noexcept : 基础信息_(基础信息) || 存在类.cpp:143: 存在类::存在类(基础信息类* 基础信息) noexcept : 基础信息_(基础信息)"	"同名不同功能或约束，禁止直接合并"
"绑定基础信息"	"7"	"0"	"7"	"6"	"2x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=特征;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=动态;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=因果;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=场景;约束=noexcept"	"2x 专用类/对应头文件：特征 || 1x 专用类/对应头文件：动态 || 1x 专用类/对应头文件：因果 || 1x 专用类/对应头文件：场景"	"二次特征类.h:14: void 绑定基础信息(基础信息类* 基础信息) noexcept || 动态类.h:16: void 绑定基础信息(基础信息类* 基础信息) noexcept || 因果类.h:55: void 绑定基础信息(基础信息类* 基础信息) noexcept || 场景类.h:9: void 绑定基础信息(基础信息类* 基础信息) noexcept || 存在类.h:14: void 绑定基础信息(基础信息类* 基础信息) noexcept"	"同名不同功能或约束，禁止直接合并"
"默认刻度"	"7"	"7"	"0"	"2"	"6x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=override || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=virtual"	"7x 原地保留/待复核"	"度量模板注册表类.ixx:58: [[nodiscard]] virtual std::vector<结构_刻度片> 默认刻度(const 结构_模板参数& 参数) const || 度量模板注册表类.ixx:202: [[nodiscard]] std::vector<结构_刻度片> 默认刻度(const 结构_模板参数&) const override || 度量模板注册表类.ixx:224: [[nodiscard]] std::vector<结构_刻度片> 默认刻度(const 结构_模板参数&) const override || 度量模板注册表类.ixx:270: [[nodiscard]] std::vector<结构_刻度片> 默认刻度(const 结构_模板参数&) const override || 度量模板注册表类.ixx:304: [[nodiscard]] std::vector<结构_刻度片> 默认刻度(const 结构_模板参数&) const override"	"同名不同功能或约束，禁止直接合并"
"初始化"	"6"	"2"	"4"	"6"	"1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=基础信息;约束=无显式约束 || 1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=日志;约束=inline || 1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=特征值;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：基础信息 || 1x 专用类/对应头文件：日志 || 1x 专用类/对应头文件：特征值"	"世界树类.h:60: void 初始化() || 基础信息类.h:21: void 初始化() || 日志模块.ixx:471: inline void 初始化(const 日志参数& p) || 特征值类.h:27: void 初始化() || 语素类.h:36: void 初始化()"	"同名不同功能或约束，禁止直接合并"
"删除节点_已加锁"	"6"	"2"	"4"	"3"	"4x 类别=清理;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=锁约束 || 1x 类别=清理;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=锁约束 || 1x 类别=清理;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=需求;约束=noexcept+锁约束"	"5x 原地保留/待复核 || 1x 专用类/对应头文件：需求"	"双向链表模板核心.h:506: void 删除节点_已加锁(节点类* 被删除节点) || 双向链表模板核心.h:544: 删除节点_已加锁(被删除节点) || 双向链表模板核心.h:556: 删除节点_已加锁(当前) || 双向链表模板核心.h:562: 删除节点_已加锁(当前) || 双向链表模板核心.h:580: 删除节点_已加锁(根指针->链下)"	"同名不同功能或约束，禁止直接合并"
"同步运行包语义槽"	"6"	"6"	"0"	"1"	"6x 类别=更新;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=任务;约束=noexcept"	"6x 专用类/对应头文件：任务"	"任务模块.运行包.impl.cpp:132: void 同步运行包语义槽(结构_线程运行包头& 包头) noexcept || 任务模块.运行包.impl.cpp:139: void 同步运行包语义槽(结构_根需求项& 根需求) noexcept || 任务模块.运行包.impl.cpp:150: void 同步运行包语义槽(结构_授权约束段& 授权约束) noexcept || 任务模块.运行包.impl.cpp:161: void 同步运行包语义槽(结构_方法沉淀候选项& 方法沉淀候选) noexcept || 任务模块.运行包.impl.cpp:168: void 同步运行包语义槽(结构_一步治理任务包& 包) noexcept"	"功能签名一致，按专用归属复核"
"私有_安全词"	"2"	"2"	"0"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=自我;约束=noexcept || 1x 类别=未分类;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=语言;约束=无显式约束"	"1x 专用类/对应头文件：自我 || 1x 专用类/对应头文件：语言"	"自我线程模块.impl.cpp:79: std::string 私有_安全词(const 语素入口节点类* 词) noexcept || 语言类_存在表达.cpp:41: std::string 私有_安全词(const 语素入口节点类* 词)"	"同名不同功能或约束，禁止直接合并"
"私有_比较入口指针"	"6"	"6"	"0"	"4"	"3x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=基础信息;约束=noexcept+static || 1x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=任务;约束=noexcept+static || 1x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=方法;约束=noexcept+static || 1x 类别=比较;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=需求;约束=noexcept+static"	"3x 专用类/对应头文件：基础信息 || 1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：方法 || 1x 专用类/对应头文件：需求"	"任务主信息类.h:118: static std::int64_t 私有_比较入口指针(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 基础信息主信息类.h:195: static std::int64_t 私有_比较入口指针(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 基础信息主信息类.h:507: static std::int64_t 私有_比较入口指针(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 基础信息主信息类.h:559: static std::int64_t 私有_比较入口指针(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept || 方法主信息类.h:518: static std::int64_t 私有_比较入口指针(const 语素入口节点类* 左, const 语素入口节点类* 右) noexcept"	"同名不同功能或约束，禁止直接合并"
"从状态补齐目标主体和特征缓存_已加锁"	"5"	"1"	"4"	"2"	"4x 类别=未分类;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=需求;约束=锁约束 || 1x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=需求;约束=noexcept+static+锁约束"	"5x 专用类/对应头文件：需求"	"需求类.h:948: 从状态补齐目标主体和特征缓存_已加锁(当前子节点->主信息) || 需求类.h:970: static void 从状态补齐目标主体和特征缓存_已加锁(需求主信息类& 主信息) noexcept || 需求类.h:1099: 从状态补齐目标主体和特征缓存_已加锁(主信息) || 需求类.h:1101: 从状态补齐目标主体和特征缓存_已加锁(父需求->主信息) || 需求类.h:1241: 从状态补齐目标主体和特征缓存_已加锁(目标需求->主信息)"	"同名不同功能或约束，禁止直接合并"
"刷新需求及祖先结构角色"	"5"	"1"	"4"	"2"	"4x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=需求;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=需求;约束=noexcept+static"	"5x 专用类/对应头文件：需求"	"需求类.h:529: static void 刷新需求及祖先结构角色(节点类* 需求) noexcept || 需求类.h:1162: 刷新需求及祖先结构角色(目标需求) || 需求类.h:1164: 刷新需求及祖先结构角色(父需求) || 需求类.h:1246: 刷新需求及祖先结构角色(目标需求) || 需求类.h:1259: 刷新需求及祖先结构角色(父需求)"	"同名不同功能或约束，禁止直接合并"
"场景等价_条件结果对归并"	"5"	"5"	"0"	"4"	"2x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=自我;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=执行;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=外设;约束=无显式约束 || 1x 类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"3x 专用类/对应头文件：自我 || 2x 专用类/对应头文件：外设"	"自我动作实现.外设模块.ixx:8798: inline bool 场景等价_条件结果对归并( const 场景节点类* 左, const 场景节点类* 右) noexcept || 自我动作实现.外设模块.ixx:8841: 条件信息 && 场景等价_条件结果对归并(条件信息->条件场景.指针, 条件场景)) || 自我动作实现模块.ixx:3402: inline bool 场景等价_条件结果对归并( const 场景节点类* 左, const 场景节点类* 右) noexcept || 自我动作实现模块.ixx:3499: 条件信息 && 场景等价_条件结果对归并(条件信息->条件场景.指针, 条件场景)) || 自我动作实现模块.ixx:3748: 结果信息 && 场景等价_条件结果对归并(结果信息->结果场景.指针, 结果场景))"	"同名不同功能或约束，禁止直接合并"
"校验参数"	"5"	"5"	"0"	"2"	"4x 类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=override || 1x 类别=执行;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=virtual"	"5x 原地保留/待复核"	"度量模板注册表类.ixx:65: virtual void 校验参数(const 结构_模板参数& 参数) const || 度量模板注册表类.ixx:320: void 校验参数(const 结构_模板参数& 参数) const override || 度量模板注册表类.ixx:356: void 校验参数(const 结构_模板参数& 参数) const override || 度量模板注册表类.ixx:382: void 校验参数(const 结构_模板参数& 参数) const override || 度量模板注册表类.ixx:419: void 校验参数(const 结构_模板参数& 参数) const override"	"同名不同功能或约束，禁止直接合并"
"私有_解析状态引用"	"5"	"5"	"0"	"5"	"1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=任务;约束=noexcept || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=动态;约束=无显式约束 || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=方法;约束=noexcept || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"1x 专用类/对应头文件：任务 || 1x 专用类/对应头文件：动态 || 1x 专用类/对应头文件：方法 || 1x 原地保留/待复核"	"任务类.cpp:202: 状态节点类* 私有_解析状态引用( const 可解析引用<状态节点类>& 引用) noexcept || 动态类.cpp:353: 状态节点类* 私有_解析状态引用(基础信息类* 基础信息, const 可解析引用<状态节点类>& 引用) || 方法类.cpp:508: 状态节点类* 私有_解析状态引用(const 可解析引用<状态节点类>& 引用) noexcept || 状态类.cpp:76: 状态节点类* 私有_解析状态引用(基础信息类* 基础信息, const 可解析引用<状态节点类>& 引用) || 需求类.cpp:347: 状态节点类* 私有_解析状态引用(const 可解析引用<状态节点类>& 引用) noexcept"	"同名不同功能或约束，禁止直接合并"
"私有_追加叶字段"	"5"	"5"	"0"	"2"	"4x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=控制面板;约束=无显式约束 || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=控制面板;约束=无显式约束"	"5x 专用类/对应头文件：控制面板"	"控制面板类.cpp:2581: void 私有_追加叶字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const std::string& 值) || 控制面板类.cpp:2590: void 私有_追加叶字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const char* 值) || 控制面板类.cpp:2599: void 私有_追加叶字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const std::int64_t 值) || 控制面板类.cpp:2608: void 私有_追加叶字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const std::uint64_t 值) || 控制面板类.cpp:2617: void 私有_追加叶字段( 结构_控制面板树节点& 父节点, const std::string& 名称, const bool 值)"	"同名不同功能或约束，禁止直接合并"
"绑定"	"5"	"2"	"3"	"4"	"2x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=解析;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=解析;输入=有自定义类型;输出=文本;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=未分类;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"5x 原地保留/待复核"	"基础数据类型.h:156: 可解析引用(T节点* 节点) || 基础数据类型.h:159: 可解析引用(T节点* 节点, const std::string& 主键值) || 基础数据类型.h:174: 绑定(节点) || 基础数据类型.h:179: void 绑定(T节点* 节点) || 基础数据类型.h:186: void 绑定(T节点* 节点, const std::string& 主键值)"	"同名不同功能或约束，禁止直接合并"
"刷新子需求权重_已加锁"	"4"	"1"	"3"	"2"	"3x 类别=执行;输入=有自定义类型;输出=其他;副作用=无明显副作用;领域=需求;约束=锁约束 || 1x 类别=执行;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=需求;约束=noexcept+锁约束"	"4x 专用类/对应头文件：需求"	"需求类.h:1159: (void)刷新子需求权重_已加锁(父需求) || 需求类.h:1245: (void)刷新子需求权重_已加锁(目标需求) || 需求类.h:1258: (void)刷新子需求权重_已加锁(父需求) || 需求类.h:1270: std::size_t 刷新子需求权重_已加锁(节点类* 父需求) noexcept"	"同名不同功能或约束，禁止直接合并"
"声明条件特征"	"4"	"4"	"0"	"2"	"2x 类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 2x 类别=执行;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"2x 专用类/对应头文件：外设 || 2x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8693: inline bool 声明条件特征( 方法类::节点类* 方法首节点, const 语素入口节点类* 特征类型, bool 是否必需, 时间戳 now) noexcept || 自我动作实现.外设模块.ixx:8721: inline bool 声明条件特征( 方法类::节点类* 方法首节点, const 语素入口节点类* 特征类型, 时间戳 now) noexcept || 自我动作实现模块.ixx:3234: inline bool 声明条件特征( 方法类::节点类* 方法首节点, const 语素入口节点类* 特征类型, bool 是否必需, 时间戳 now) noexcept || 自我动作实现模块.ixx:3262: inline bool 声明条件特征( 方法类::节点类* 方法首节点, const 语素入口节点类* 特征类型, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
