文件	行号	结构体	字段行	主键类
任务模块.工作线程消息协议.ixx	146	结构_任务管理消息头	std::string 幂等键{};	是
任务模块.工作线程消息协议.ixx	167	结构_任务管理线程状态消息	std::string 控制请求主键{};	是
任务模块.工作线程消息协议.ixx	184	结构_任务管理派生需求消息	std::string 当前方法主键{};	是
任务模块.工作线程消息协议.ixx	186	结构_任务管理派生需求消息	std::string 方法虚拟存在主键{};	是
任务模块.工作线程消息协议.ixx	188	结构_任务管理派生需求消息	std::string 来源因果主键{};	是
任务模块.工作线程消息协议.ixx	190	结构_任务管理派生需求消息	std::string 来源动态主键{};	是
任务模块.工作线程消息协议.ixx	192	结构_任务管理派生需求消息	std::string 来源方法主键{};	是
任务模块.工作线程消息协议.ixx	194	结构_任务管理派生需求消息	std::string 父需求主键{};	是
任务模块.工作线程消息协议.ixx	207	结构_任务管理派生需求消息	std::string 触发动作主体主键{};	是
任务模块.工作线程消息协议.ixx	208	结构_任务管理派生需求消息	std::string 触发动作语义键{};	是
任务模块.工作线程消息协议.ixx	210	结构_任务管理派生需求消息	std::string 需求特征类型主键{};	是
任务模块.工作线程消息协议.ixx	212	结构_任务管理派生需求消息	std::string 需求目标主体主键{};	是
任务模块.工作线程消息协议.ixx	214	结构_任务管理派生需求消息	std::string 需求当前状态主键{};	是
任务模块.工作线程消息协议.ixx	216	结构_任务管理派生需求消息	std::string 需求目标状态主键{};	是
任务模块.工作线程消息协议.ixx	232	结构_任务价值反馈段	std::string 反馈事件主键{};	是
任务模块.工作线程消息协议.ixx	243	结构_任务管理结果状态消息	std::string 方法虚拟存在主键{};	是
任务模块.工作线程消息协议.ixx	272	结构_任务管理观察事实承接请求	std::string 来源需求ID{};	是
任务模块.工作线程消息协议.ixx	274	结构_任务管理观察事实承接请求	std::string 目标存在ID{};	是
任务模块.工作线程消息协议.ixx	275	结构_任务管理观察事实承接请求	std::string 目标特征类型ID{};	是
任务模块.工作线程消息协议.ixx	277	结构_任务管理观察事实承接请求	std::string 目标特征generation{};	是
任务模块.工作线程消息协议.ixx	278	结构_任务管理观察事实承接请求	std::string 约束generation{};	是
任务模块.工作线程消息协议.ixx	279	结构_任务管理观察事实承接请求	std::string 来源外设ID{};	是
任务模块.工作线程消息协议.ixx	298	结构_任务管理执行前许可请求消息	std::string 任务主键{};	是
任务模块.工作线程消息协议.ixx	299	结构_任务管理执行前许可请求消息	std::string 来源需求主键{};	是
任务模块.工作线程消息协议.ixx	300	结构_任务管理执行前许可请求消息	std::string 当前方法主键{};	是
任务模块.管理工作线程.ixx	85	结构_工作线程实例快照	std::string 最近宿主任务主键{};	是
任务模块.管理工作线程.ixx	86	结构_工作线程实例快照	std::string 最近任务虚拟存在主键{};	是
任务模块.管理工作线程.ixx	87	结构_工作线程实例快照	std::string 最近需求主键{};	是
任务模块.管理工作线程.ixx	88	结构_工作线程实例快照	std::string 最近步骤主键{};	是
任务模块.管理工作线程.ixx	89	结构_工作线程实例快照	std::string 最近方法主键{};	是
任务模块.管理工作线程.ixx	90	结构_工作线程实例快照	std::string 最近下一步去向{};	否
任务模块.管理工作线程.ixx	91	结构_工作线程实例快照	std::string 最近总控结果{};	否
任务模块.管理工作线程.ixx	92	结构_工作线程实例快照	std::string 最近因果链状态{};	否
任务模块.管理工作线程.ixx	93	结构_工作线程实例快照	std::string 最近缺口归类{};	否
任务模块.管理工作线程.ixx	94	结构_工作线程实例快照	std::string 最近推进阶段{};	否
任务模块.管理工作线程.ixx	95	结构_工作线程实例快照	std::string 最近推进状况{};	否
任务模块.管理工作线程.ixx	96	结构_工作线程实例快照	std::string 最近筹办承接{};	否
任务模块.管理工作线程.ixx	118	结构_外设消息承接结果	std::string 目标外设ID{};	是
任务模块.管理工作线程.ixx	155	结构_工作线程壳状态	std::vector<std::string> 最近筹办派生需求稳定键集{};	是
任务模块.管理界面线程.impl.cpp	111	结构_任务界面请求记录	std::string 幂等键{};	是
任务模块.管理界面线程.impl.cpp	133	结构_任务状态提交确认令牌	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	160	结构_在途工作项记录	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	166	结构_后台worker当前工作快照	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	167	结构_后台worker当前工作快照	std::string 工作项类型{};	否
任务模块.管理界面线程.impl.cpp	168	结构_后台worker当前工作快照	std::string 状态{};	否
任务模块.管理界面线程.impl.cpp	173	结构_调度任务状态快照	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	184	结构_等待挂起任务索引记录	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	202	结构_执行前许可等待记录	std::string 任务主键{};	是
任务模块.管理界面线程.impl.cpp	203	结构_执行前许可等待记录	std::string 来源需求主键{};	是
任务模块.管理界面线程.impl.cpp	204	结构_执行前许可等待记录	std::string 当前方法主键{};	是
任务模块.管理界面线程.impl.cpp	232	结构_任务界面线程状态	std::unordered_map<std::string, std::uint64_t> 幂等索引{};	否
任务模块.管理界面线程.impl.cpp	233	结构_任务界面线程状态	std::unordered_map<std::string, 时间戳> 外设承接上行幂等表{};	否
任务模块.管理界面线程.impl.cpp	242	结构_任务界面线程状态	std::unordered_map<std::string, 结构_在途工作项记录> 在途工作项索引{};	否
任务模块.管理界面线程.impl.cpp	243	结构_任务界面线程状态	std::unordered_map<std::string, std::uint64_t> 执行前许可任务占用表{};	否
任务模块.管理界面线程.impl.cpp	244	结构_任务界面线程状态	std::unordered_set<std::string> 执行前许可免审批方法白名单{};	否
任务模块.管理界面线程.impl.cpp	249	结构_任务界面线程状态	std::unordered_map<std::string, 结构_调度任务状态快照> 任务状态快照表{};	否
任务模块.管理界面线程.impl.cpp	250	结构_任务界面线程状态	std::unordered_map<std::string, 结构_等待挂起任务索引记录> 等待任务索引{};	否
任务模块.管理界面线程.impl.cpp	251	结构_任务界面线程状态	std::unordered_map<std::string, 结构_等待挂起任务索引记录> 挂起任务索引{};	否
任务模块.管理界面线程.impl.cpp	3810	结构_同目标任务签名_任务管理	std::string 目标宿主主键{};	是
任务模块.管理界面线程.impl.cpp	3811	结构_同目标任务签名_任务管理	std::string 目标特征类型主键{};	是
任务模块.管理界面线程.impl.cpp	3812	结构_同目标任务签名_任务管理	std::string 场景主键{};	是
任务模块.管理线程协议.ixx	127	结构_任务治理请求	std::string 幂等键{};	是
任务模块.管理线程协议.ixx	238	结构_任务价值结算回执	std::string 反馈事件主键{};	是
任务模块.管理线程协议.ixx	249	结构_派生需求入树回执	std::string 原派生消息幂等键{};	是
任务模块.管理线程协议.ixx	269	结构_任务工作项	std::string 幂等键{};	是
任务模块.管理线程协议.ixx	321	结构_任务工作结果	std::string 幂等键{};	是
任务模块.管理线程协议.ixx	395	结构_任务界面承接结果	std::string 幂等键{};	是
任务模块.管理线程协议.ixx	482	结构_任务界面线程快照	std::string 最近任务主键{};	是
任务模块.管理线程协议.ixx	483	结构_任务界面线程快照	std::string 最近任务虚拟存在主键{};	是
任务模块.管理线程协议.ixx	484	结构_任务界面线程快照	std::string 最近需求主键{};	是
任务模块.管理线程协议.ixx	485	结构_任务界面线程快照	std::string 最近任务状态{};	否
任务模块.管理线程协议.ixx	486	结构_任务界面线程快照	std::string 最近调度动作{};	否
任务模块.管理线程协议.ixx	487	结构_任务界面线程快照	std::string 最近调度事件类型{};	否
任务模块.管理线程协议.ixx	488	结构_任务界面线程快照	std::string 最近工作项类型{};	否
任务模块.管理线程协议.ixx	489	结构_任务界面线程快照	std::string 最近派生需求入树处理结果{};	否
任务模块.管理线程协议.ixx	490	结构_任务界面线程快照	std::string 待筹办队列头部任务主键{};	是
任务模块.管理线程协议.ixx	491	结构_任务界面线程快照	std::string 待执行队列头部任务主键{};	是
任务模块.管理线程协议.ixx	494	结构_任务界面线程快照	std::string 待筹办队列头部排序兜底键{};	是
任务模块.管理线程协议.ixx	495	结构_任务界面线程快照	std::string 待执行队列头部排序兜底键{};	是
任务模块.管理线程协议.ixx	507	结构_任务界面线程快照	std::string 最近后台worker任务主键{};	是
任务模块.管理线程协议.ixx	508	结构_任务界面线程快照	std::string 最近后台worker工作项类型{};	否
任务模块.管理线程协议.ixx	509	结构_任务界面线程快照	std::string 最近后台worker状态{};	否
任务模块.管理线程协议.ixx	510	结构_任务界面线程快照	std::string 最近状态提交确认任务主键{};	是
任务模块.管理线程协议.ixx	511	结构_任务界面线程快照	std::string 最近状态提交确认状态{};	否
任务模块.运行包.ixx	133	结构_方法沉淀候选项	std::string 动作语义键{};	是
任务模块.运行包.ixx	151	结构_一步治理任务包	std::string 任务语义键{};	是
任务模块.运行包.ixx	154	结构_一步治理任务包	std::string 完成条件{};	否
任务模块.运行包.ixx	158	结构_一步治理任务包	std::string 高阶排序需求轴键{};	是
任务模块.运行包.ixx	159	结构_一步治理任务包	std::string 高阶排序胜出候选主键{};	是
任务模块.运行包.ixx	162	结构_一步治理任务包	std::string 控制请求主键{};	是
任务模块.治理协议.ixx	324	结构_高阶排序请求	std::string 需求轴键{};	是
任务模块.治理协议.ixx	325	结构_高阶排序请求	std::vector<std::string> 候选主键列表{};	是
任务模块.治理协议.ixx	326	结构_高阶排序请求	std::string 首候选主键{};	是
任务模块.治理协议.ixx	327	结构_高阶排序请求	std::string 次候选主键{};	是
任务模块.治理协议.ixx	328	结构_高阶排序请求	std::string 比较特征键{};	是
任务模块.治理协议.ixx	336	结构_高阶排序结果	std::string 需求轴键{};	是
任务模块.治理协议.ixx	337	结构_高阶排序结果	std::vector<std::string> 候选主键列表{};	是
任务模块.治理协议.ixx	338	结构_高阶排序结果	std::string 胜出候选主键{};	是
任务模块.治理协议.ixx	345	结构_高阶胜出绑定	std::string 需求轴键{};	是
任务模块.治理协议.ixx	346	结构_高阶胜出绑定	std::string 胜出候选主键{};	是
任务模块.治理协议.ixx	347	结构_高阶胜出绑定	std::string 胜出方法主键{};	是
任务模块.治理协议.ixx	385	结构_任务管理控制承接记录	std::string 控制请求主键{};	是
任务模块.治理协议.ixx	386	结构_任务管理控制承接记录	std::string 目标线程主键{};	是
任务模块.治理协议.ixx	387	结构_任务管理控制承接记录	std::string 目标任务管理任务主键{};	是
任务模块.治理协议.ixx	388	结构_任务管理控制承接记录	std::string 目标任务主键{};	是
任务模块.治理协议.ixx	389	结构_任务管理控制承接记录	std::string 对应执行尝试主键{};	是
任务模块.治理协议.ixx	419	结构_任务管理请求	std::string 当前需求轴键{};	是
任务模块.治理协议.ixx	660	结构_治理恢复快照	std::string 最近条件主键{};	是
日志模块.ixx	89	日志参数	std::string 文件前缀 = "海鱼";	否
日志模块.ixx	226	单文件日志器	std::string 当前日期; // YYYYMMDD	否
日志模块.ixx	228	单文件日志器	std::string 文件前缀;	否
日志模块.ixx	229	单文件日志器	std::string 文件标识; // "run" / "exception"	否
日志模块.ixx	237	单文件日志器	static std::string 取日期_YYYYMMDD() {	否
日志模块.ixx	249	单文件日志器	return std::string(buf);	否
日志模块.ixx	253	单文件日志器	static std::string 取时间戳_YYYYMMDD_hhmmss_mmm() {	否
日志模块.ixx	270	单文件日志器	return std::string(buf);	否
日志模块.ixx	286	单文件日志器	void 配置(const 日志参数& p, std::string 标识) {	是
日志模块.ixx	298	单文件日志器	std::filesystem::path 生成文件路径(const std::string& yyyymmdd) const {	否
日志模块.ixx	300	单文件日志器	std::string name = std::format("{}_{}_{}.低值g", 文件前缀, 文件标识, yyyymmdd);	否
日志模块.ixx	306	单文件日志器	const std::string today = 取日期_YYYYMMDD();	否
日志模块.ixx	346	单文件日志器	const std::string ts = 取时间戳_YYYYMMDD_hhmmss_mmm();	否
日志模块.ixx	347	单文件日志器	std::string 行文本{};	否
日志模块.ixx	393	单文件日志器	std::string{}.swap(当前日期);	否
日志模块.ixx	395	单文件日志器	std::string{}.swap(文件前缀);	否
日志模块.ixx	396	单文件日志器	std::string{}.swap(文件标识);	否
世界树类.cpp	234	结构_世界树SQL节点行	std::string 节点主键{};	是
世界树类.cpp	235	结构_世界树SQL节点行	std::string 父节点主键{};	是
世界树类.cpp	239	结构_世界树SQL节点行	std::string 路径{};	否
世界树类.cpp	240	结构_世界树SQL节点行	std::string 节点类别{};	否
世界树类.cpp	241	结构_世界树SQL节点行	std::string 显示文本{};	否
世界树类.cpp	244	结构_世界树SQL节点行	std::string 主信息类型文本{};	否
世界树类.cpp	245	结构_世界树SQL节点行	std::string 名称主键{};	是
世界树类.cpp	246	结构_世界树SQL节点行	std::string 名称文本{};	否
世界树类.cpp	247	结构_世界树SQL节点行	std::string 类型主键{};	是
世界树类.cpp	248	结构_世界树SQL节点行	std::string 类型文本{};	否
世界树类.cpp	249	结构_世界树SQL节点行	std::string 值类别{};	否
世界树类.cpp	250	结构_世界树SQL节点行	std::string 值文本{};	否
世界树类.cpp	251	结构_世界树SQL节点行	std::string 辅助文本{};	否
世界树类.cpp	259	结构_世界树SQL关系行	std::string 宿主主键{};	是
世界树类.cpp	260	结构_世界树SQL关系行	std::string 关系名{};	否
世界树类.cpp	261	结构_世界树SQL关系行	std::string 目标类别{};	否
世界树类.cpp	262	结构_世界树SQL关系行	std::string 目标主键{};	是
世界树类.cpp	263	结构_世界树SQL关系行	std::string 目标文本{};	否
数据库ADO模块.ixx	10	结构_ADO查询结果	std::vector<std::string> 列名{};	否
数据库ADO模块.ixx	11	结构_ADO查询结果	std::vector<std::vector<std::string>> 行集{};	否
双目相机本能适配器.h	99	调用结果	std::string 消息{};	否
双向链表模板核心.h	54	节点类	std::string 获取主键() const { return 主键; }	是
双向链表模板核心.h	57	节点类	void 设置主键(const std::string& 主键_) { 主键 = 主键_; }	是
双向链表模板核心.h	136	节点类	std::string 主键{};	是
外设观察报告队列.ixx	257	结构_外设观察像素簇摘要	std::string 轨迹状态generation{};	是
外设观察报告队列.ixx	295	结构_外设观察像素簇摘要	std::string 像素集合掩码句柄{};	是
外设观察报告队列.ixx	296	结构_外设观察像素簇摘要	std::string 彩色轮廓局部图句柄{};	是
外设观察报告队列.ixx	297	结构_外设观察像素簇摘要	std::string 深度轮廓局部图句柄{};	是
外设观察报告队列.ixx	298	结构_外设观察像素簇摘要	std::string ROI句柄{};	是
外设观察报告队列.ixx	299	结构_外设观察像素簇摘要	std::string 点集句柄{};	是
外设观察报告队列.ixx	300	结构_外设观察像素簇摘要	std::string 空间候选句柄{};	是
外设观察报告队列.ixx	301	结构_外设观察像素簇摘要	std::string 像素归属验证材料句柄{};	是
外设观察报告队列.ixx	302	结构_外设观察像素簇摘要	std::string 失败原因{};	否
外设观察报告队列.ixx	335	结构_外设提交包头	std::string 外设ID{};	是
外设观察报告队列.ixx	336	结构_外设提交包头	std::string 材料页ID{};	是
外设观察报告队列.ixx	337	结构_外设提交包头	std::string 坐标系ID{};	是
外设观察报告队列.ixx	338	结构_外设提交包头	std::string 标定版本{};	否
外设观察报告队列.ixx	339	结构_外设提交包头	std::string generation{};	是
外设观察报告队列.ixx	341	结构_外设提交包头	std::vector<std::string> 材料句柄集{};	是
外设观察报告队列.ixx	353	结构_外设特征值条目	std::string 坐标系ID{};	是
外设观察报告队列.ixx	354	结构_外设特征值条目	std::string 单位{};	否
外设观察报告队列.ixx	358	结构_外设特征值条目	std::vector<std::string> 来源材料句柄集{};	是
外设观察报告队列.ixx	360	结构_外设特征值条目	std::string 比较器ID{};	是
外设观察报告队列.ixx	370	结构_外设识别候选	std::vector<std::string> 材料句柄集{};	是
外设观察报告队列.ixx	384	结构_外设识别提交包	std::string 像素归属账本{};	否
外设观察报告队列.ixx	385	结构_外设识别提交包	std::vector<std::string> ROI句柄集{};	是
外设观察报告队列.ixx	386	结构_外设识别提交包	std::vector<std::string> 掩码句柄集{};	是
外设观察报告队列.ixx	387	结构_外设识别提交包	std::vector<std::string> 点集句柄集{};	是
外设观察报告队列.ixx	388	结构_外设识别提交包	std::vector<std::string> 深度切片句柄集{};	是
外设观察报告队列.ixx	395	结构_外设已知存在扫描结果	std::string 当前ROI{};	否
