任务模块.管理工作线程.ixx:91:    std::string 最近总控结果{};
自我线程模块.ixx:228:        std::string 摘要{};
自我线程模块.ixx:236:        std::string 摘要{};
自我线程模块.ixx:248:        std::string 最近事件摘要{};
自我线程模块.ixx:258:        std::string 摘要{};
自我线程模块.ixx:283:        std::string 摘要{};
自我线程模块.ixx:288:        std::string 摘要{};
自我线程模块.ixx:302:        std::string 摘要{};
自我线程模块.ixx:314:        std::string 摘要{};
自我线程模块.ixx:390:        std::string 治理桥总控结果{};
自我线程模块.ixx:392:        std::string 主派发摘要{};
自我线程模块.ixx:413:        std::string 摘要{};
自我线程模块.ixx:420:        std::string 摘要{};
自我线程模块.ixx:430:        std::string 摘要{};
自我线程模块.ixx:442:        std::string 摘要{};
自我线程模块.ixx:452:        std::string 摘要{};
自我线程模块.ixx:463:        std::string 摘要{};
自我线程模块.ixx:473:        std::string 摘要{};
自我线程模块.ixx:480:            std::string 摘要{};
自我线程模块.ixx:494:        std::string 摘要{};
自我线程模块.ixx:668:        std::string 上层反馈摘要{};
自我线程模块.ixx:669:        std::string 摘要{};
自我线程模块.ixx:680:        std::string 摘要{};
自我线程模块.ixx:690:        std::string 摘要{};
自我线程模块.ixx:703:        std::string 摘要{};
自我线程模块.ixx:718:        std::string 摘要{};
自我线程模块.ixx:738:        std::string 等待队列裁决{};
自我线程模块.ixx:742:        std::string 摘要{};
自我线程模块.ixx:755:            std::string 最近事件摘要{};
自我线程模块.ixx:798:        std::string 摘要{};
自我线程模块.ixx:816:        std::string 摘要{};
自我线程模块.ixx:824:        std::string 摘要{};
自我线程模块.ixx:834:        std::string 摘要{};
自我线程模块.ixx:846:        std::string 摘要{};
自我线程模块.ixx:861:        std::string 摘要{};
自我线程模块.ixx:993:        std::string 摘要{};
自我线程模块.消息协议.ixx:277:    std::string 最近结果消息幂等键{};
自我线程模块.消息协议.ixx:291:    std::string 原因键{};
自我线程模块.消息协议.ixx:410:    std::string 摘要{};
自我线程模块.消息批次执行器.ixx:30:    std::string 上层反馈摘要{};
语言类_二次特征表达.cpp:72:        std::string 正向结果{};
语言类_二次特征表达.cpp:73:        std::string 反向结果{};
语言类_二次特征表达.cpp:74:        std::string 中性结果{};
自我线程模块.impl.cpp:835:    std::vector<std::string> 缺失证据{};
自我线程模块.impl.cpp:837:    std::string 摘要{};
自我线程模块.impl.cpp:862:    std::vector<std::string> 缺失证据{};
自我线程模块.impl.cpp:863:    std::string 摘要{};
自我线程模块.impl.cpp:6281:    std::vector<std::string> 缺失证据{};
自我线程模块.impl.cpp:9257:    std::vector<std::string> 自检投影缺失证据{};
自我线程模块.impl.cpp:9270:    std::vector<std::string> 因果链缺失证据{};
自我线程模块.impl.cpp:15217:    std::string 最近摘要{};
自我动作实现.外设模块.ixx:21138:        std::string 失败说明{};
自我动作实现.外设模块.ixx:23791:            std::string 首个失败说明{};
